Name,Wikipedia_Link
Prosecution of Hamid Ghareh-Hassanlou,https://en.wikipedia.org/wiki/Prosecution_of_Hamid_Ghareh-Hassanlou
Golchin Gilani,https://en.wikipedia.org/wiki/Golchin_Gilani
Hakim Ghulam Imam,https://en.wikipedia.org/wiki/Hakim_Ghulam_Imam
Reza Malekzadeh,https://en.wikipedia.org/wiki/Reza_Malekzadeh
Mehdi Younesi Rostami,https://en.wikipedia.org/wiki/Mehdi_Younesi_Rostami
Avideh Nazeri,https://en.wikipedia.org/wiki/Avideh_Nazeri
Parastoo Bakhshi,https://en.wikipedia.org/wiki/Parastoo_Bakhshi
Shirin Rouhanirad,https://en.wikipedia.org/wiki/Shirin_Rouhanirad
Zahra Sheikhi,https://en.wikipedia.org/wiki/Zahra_Sheikhi
Mohammad H. Ansari,https://en.wikipedia.org/wiki/Mohammad_H._Ansari
Abdolrahim Baharvand,https://en.wikipedia.org/wiki/Abdolrahim_Baharvand
Ebrahim Karimi (physicist),https://en.wikipedia.org/wiki/Ebrahim_Karimi_%28physicist%29
Reza Sepahvand,https://en.wikipedia.org/wiki/Reza_Sepahvand
Mohammad Taqi Danesh Pajouh,https://en.wikipedia.org/wiki/Mohammad_Taqi_Danesh_Pajouh
Hatam Ghaderi,https://en.wikipedia.org/wiki/Hatam_Ghaderi
Hamid Fazeli,https://en.wikipedia.org/wiki/Hamid_Fazeli
Mohammad Ali Forghani,https://en.wikipedia.org/wiki/Mohammad_Ali_Forghani
Reza Taghipour,https://en.wikipedia.org/wiki/Reza_Taghipour
Template:Iran-botanist-stub,https://en.wikipedia.org/wiki/Template%3AIran-botanist-stub
Template:Iran-mathematician-stub,https://en.wikipedia.org/wiki/Template%3AIran-mathematician-stub
Template:Iran-scientist-stub,https://en.wikipedia.org/wiki/Template%3AIran-scientist-stub
Abu al-Jud,https://en.wikipedia.org/wiki/Abu_al-Jud
Abu Ja'far ibn Habash,https://en.wikipedia.org/wiki/Abu_Ja%27far_ibn_Habash
Siavash Alamouti,https://en.wikipedia.org/wiki/Siavash_Alamouti
Reza Amrollahi,https://en.wikipedia.org/wiki/Reza_Amrollahi
Muhammad ibn Mahmud Amuli,https://en.wikipedia.org/wiki/Muhammad_ibn_Mahmud_Amuli
Farhad Ardalan,https://en.wikipedia.org/wiki/Farhad_Ardalan
Ali Reza Ashrafi,https://en.wikipedia.org/wiki/Ali_Reza_Ashrafi
Muhammad Aufi,https://en.wikipedia.org/wiki/Muhammad_Aufi
Esmail Babolian,https://en.wikipedia.org/wiki/Esmail_Babolian
Allah Verdi Mirza Farman Farmaian,https://en.wikipedia.org/wiki/Allah_Verdi_Mirza_Farman_Farmaian
Sabar Farmanfarmaian,https://en.wikipedia.org/wiki/Sabar_Farmanfarmaian
Hassan Farsam,https://en.wikipedia.org/wiki/Hassan_Farsam
Farideh Firoozbakht,https://en.wikipedia.org/wiki/Farideh_Firoozbakht
Ahmad Ghahreman,https://en.wikipedia.org/wiki/Ahmad_Ghahreman
Mohammed Ghanbari,https://en.wikipedia.org/wiki/Mohammed_Ghanbari
Kushyar ibn Labban,https://en.wikipedia.org/wiki/Kushyar_ibn_Labban
Abu Said Gorgani,https://en.wikipedia.org/wiki/Abu_Said_Gorgani
Abolfadl Harawi,https://en.wikipedia.org/wiki/Abolfadl_Harawi
Qiwam al-Din Muhammad al-Hasani,https://en.wikipedia.org/wiki/Qiwam_al-Din_Muhammad_al-Hasani
Ibn Abi Sadiq,https://en.wikipedia.org/wiki/Ibn_Abi_Sadiq
Abu al-Fath al-Isfahani,https://en.wikipedia.org/wiki/Abu_al-Fath_al-Isfahani
Kamaloddin Jenab,https://en.wikipedia.org/wiki/Kamaloddin_Jenab
Iraj Malekpour,https://en.wikipedia.org/wiki/Iraj_Malekpour
Maqsud-Ali Tabrizi,https://en.wikipedia.org/wiki/Maqsud-Ali_Tabrizi
Marjan Mashkour,https://en.wikipedia.org/wiki/Marjan_Mashkour
Arsen Minasian,https://en.wikipedia.org/wiki/Arsen_Minasian
Jamaluddin Mostaghimi,https://en.wikipedia.org/wiki/Jamaluddin_Mostaghimi
Seyed Javad Mowla,https://en.wikipedia.org/wiki/Seyed_Javad_Mowla
Muhammad Baqir Yazdi,https://en.wikipedia.org/wiki/Muhammad_Baqir_Yazdi
Muhammad ibn Yusuf al-Ilaqi,https://en.wikipedia.org/wiki/Muhammad_ibn_Yusuf_al-Ilaqi
Mūsā ibn Shākir,https://en.wikipedia.org/wiki/M%C5%ABs%C4%81_ibn_Sh%C4%81kir
Ali ibn Ahmad al-Nasawi,https://en.wikipedia.org/wiki/Ali_ibn_Ahmad_al-Nasawi
Behrouz Nikbin,https://en.wikipedia.org/wiki/Behrouz_Nikbin
Ahmad Parsa,https://en.wikipedia.org/wiki/Ahmad_Parsa
Ali Akbar Sarfaraz,https://en.wikipedia.org/wiki/Ali_Akbar_Sarfaraz
Himan Shahabi,https://en.wikipedia.org/wiki/Himan_Shahabi
Siavash Shahshahani,https://en.wikipedia.org/wiki/Siavash_Shahshahani
Homa Shaibany,https://en.wikipedia.org/wiki/Homa_Shaibany
Amin Shokrollahi,https://en.wikipedia.org/wiki/Amin_Shokrollahi
Jafar Zafarani,https://en.wikipedia.org/wiki/Jafar_Zafarani
Ibn Sahl (mathematician),https://en.wikipedia.org/wiki/Ibn_Sahl_%28mathematician%29
Nasir Khusraw,https://en.wikipedia.org/wiki/Nasir_Khusraw
Nizam al-Mulk,https://en.wikipedia.org/wiki/Nizam_al-Mulk
Fakhr al-Din al-Razi,https://en.wikipedia.org/wiki/Fakhr_al-Din_al-Razi
Zakariya al-Qazwini,https://en.wikipedia.org/wiki/Zakariya_al-Qazwini
Al-Sharif al-Jurjani,https://en.wikipedia.org/wiki/Al-Sharif_al-Jurjani
Abd al-Razzaq Samarqandi,https://en.wikipedia.org/wiki/Abd_al-Razzaq_Samarqandi
Fariba Adelkhah,https://en.wikipedia.org/wiki/Fariba_Adelkhah
Azar Andami,https://en.wikipedia.org/wiki/Azar_Andami
Homa Hoodfar,https://en.wikipedia.org/wiki/Homa_Hoodfar
Taraneh Javanbakht,https://en.wikipedia.org/wiki/Taraneh_Javanbakht
Farhad Kazemi (academic),https://en.wikipedia.org/wiki/Farhad_Kazemi_%28academic%29
Houra Merrikh,https://en.wikipedia.org/wiki/Houra_Merrikh
Homeira Moshirzadeh,https://en.wikipedia.org/wiki/Homeira_Moshirzadeh
Roxana Moslehi,https://en.wikipedia.org/wiki/Roxana_Moslehi
Eliz Sanasarian,https://en.wikipedia.org/wiki/Eliz_Sanasarian
Mohsen Amiraslani,https://en.wikipedia.org/wiki/Mohsen_Amiraslani
Elham Azizi,https://en.wikipedia.org/wiki/Elham_Azizi
Omid Cameron Farokhzad,https://en.wikipedia.org/wiki/Omid_Cameron_Farokhzad
Amir Hossein Feghhi,https://en.wikipedia.org/wiki/Amir_Hossein_Feghhi
Elham Kashefi,https://en.wikipedia.org/wiki/Elham_Kashefi
Maryam Jafarkhani Kermani,https://en.wikipedia.org/wiki/Maryam_Jafarkhani_Kermani
Soleiman Pakseresht,https://en.wikipedia.org/wiki/Soleiman_Pakseresht
Nima Rezaei,https://en.wikipedia.org/wiki/Nima_Rezaei
Sussan Siavoshi,https://en.wikipedia.org/wiki/Sussan_Siavoshi
Abbas Adham,https://en.wikipedia.org/wiki/Abbas_Adham
Yahya Adl,https://en.wikipedia.org/wiki/Yahya_Adl
Abass Alavi,https://en.wikipedia.org/wiki/Abass_Alavi
William Cormick,https://en.wikipedia.org/wiki/William_Cormick
Javad Heyat,https://en.wikipedia.org/wiki/Javad_Heyat
Hamid Ahmadieh,https://en.wikipedia.org/wiki/Hamid_Ahmadieh
Abbas Ardehali,https://en.wikipedia.org/wiki/Abbas_Ardehali
Abdol Karim Ayadi,https://en.wikipedia.org/wiki/Abdol_Karim_Ayadi
Pejman Azarmina,https://en.wikipedia.org/wiki/Pejman_Azarmina
Kamran Bagheri Lankarani,https://en.wikipedia.org/wiki/Kamran_Bagheri_Lankarani
Zahra Bani Yaghoub,https://en.wikipedia.org/wiki/Zahra_Bani_Yaghoub
Fereydoon Batmanghelidj,https://en.wikipedia.org/wiki/Fereydoon_Batmanghelidj
Alimorad Farshchian,https://en.wikipedia.org/wiki/Alimorad_Farshchian
Gary Ghahremani,https://en.wikipedia.org/wiki/Gary_Ghahremani
Hossein Gharib,https://en.wikipedia.org/wiki/Hossein_Gharib
Mohammad Gharib,https://en.wikipedia.org/wiki/Mohammad_Gharib
Armen Kocharian,https://en.wikipedia.org/wiki/Armen_Kocharian
Noah McKay,https://en.wikipedia.org/wiki/Noah_McKay
Roxana Mehran,https://en.wikipedia.org/wiki/Roxana_Mehran
Minoo Mohraz,https://en.wikipedia.org/wiki/Minoo_Mohraz
Azarakhsh Mokri,https://en.wikipedia.org/wiki/Azarakhsh_Mokri
Seyed Hossein Mousavian (physician),https://en.wikipedia.org/wiki/Seyed_Hossein_Mousavian_%28physician%29
Ali Rıza Öreroğlu,https://en.wikipedia.org/wiki/Ali_R%C4%B1za_%C3%96rero%C4%9Flu
Hossein Ravazadeh,https://en.wikipedia.org/wiki/Hossein_Ravazadeh
Majid Samii,https://en.wikipedia.org/wiki/Majid_Samii
Nasser Simforoosh,https://en.wikipedia.org/wiki/Nasser_Simforoosh
Abolfazl Soroush,https://en.wikipedia.org/wiki/Abolfazl_Soroush
Shirin Towfigh,https://en.wikipedia.org/wiki/Shirin_Towfigh
