Name,Wikipedia_Link,wikidata_qid,wikidata_url,wikidata_gender,wikidata_occupation,wikidata_country_of_citizenship,wikidata_place_of_birth,wikidata_date_of_birth
Azam Khodayari,https://en.wikipedia.org/wiki/Azam_Khodayari,Q4832170,https://www.wikidata.org/wiki/Q4832170,female,athletics competitor,Iran,,1901-01-01T00:00:00Z
Amir Khosravani,https://en.wikipedia.org/wiki/Amir_Khosravani,Q108323700,https://www.wikidata.org/wiki/Q108323700,male,,,Bandar Ganaveh,1994-01-01T00:00:00Z
Yasin Khosravi,https://en.wikipedia.org/wiki/Yasin_Khosravi,Q130248562,https://www.wikidata.org/wiki/Q130248562,male,,,,1992-01-01T00:00:00Z
Aref Khosravinia,https://en.wikipedia.org/wiki/Aref_Khosravinia,Q84102294,https://www.wikidata.org/wiki/Q84102294,male,athletics competitor,,,
Mohammad Reza Mirzaei,https://en.wikipedia.org/wiki/Mohammad_Reza_Mirzaei,Q4699049,https://www.wikidata.org/wiki/Q4699049,male,athletics competitor,Iran,,2000-01-01T00:00:00Z
Sajad Mohammadian,https://en.wikipedia.org/wiki/Sajad_Mohammadian,Q28042280,https://www.wikidata.org/wiki/Q28042280,male,shot putter,,,1983-11-15T00:00:00Z
Alireza Mokhtari,https://en.wikipedia.org/wiki/Alireza_Mokhtari,Q108312743,https://www.wikidata.org/wiki/Q108312743,male,,,Isfahan,1977-01-01T00:00:00Z
Hashemiyeh Motaghian,https://en.wikipedia.org/wiki/Hashemiyeh_Motaghian,Q108335539,https://www.wikidata.org/wiki/Q108335539,female,Paralympic athlete,Iran,Ahvaz,1986-05-22T00:00:00Z
Ali Naderi,https://en.wikipedia.org/wiki/Ali_Naderi,Q4725076,https://www.wikidata.org/wiki/Q4725076,male,athletics competitor,Iran,,1901-01-01T00:00:00Z
Peyman Nasiri,https://en.wikipedia.org/wiki/Peyman_Nasiri,Q5700213,https://www.wikidata.org/wiki/Q5700213,male,athlete,Iran,,1980-06-10T00:00:00Z
Alireza Ghaleh Nasseri,https://en.wikipedia.org/wiki/Alireza_Ghaleh_Nasseri,Q84775269,https://www.wikidata.org/wiki/Q84775269,male,athletics competitor,,,
Mehran Nikoee Majd,https://en.wikipedia.org/wiki/Mehran_Nikoee_Majd,Q136442917,https://www.wikidata.org/wiki/Q136442917,male,,Iran,,1982-08-08T00:00:00Z
Sajad Nikparast,https://en.wikipedia.org/wiki/Sajad_Nikparast,Q5670838,https://www.wikidata.org/wiki/Q5670838,male,athletics competitor,Iran,,1986-09-21T00:00:00Z
Mokhtar Nourafshan,https://en.wikipedia.org/wiki/Mokhtar_Nourafshan,Q6895317,https://www.wikidata.org/wiki/Q6895317,male,athletics competitor,Iran,,1967-01-01T00:00:00Z
Mahdi Olad,https://en.wikipedia.org/wiki/Mahdi_Olad,Q108328625,https://www.wikidata.org/wiki/Q108328625,male,,,Tehran,1986-04-01T00:00:00Z
Saman Pakbaz,https://en.wikipedia.org/wiki/Saman_Pakbaz,Q27063152,https://www.wikidata.org/wiki/Q27063152,male,athletics competitor,Iran,Yasuj,1995-07-19T00:00:00Z
Amanolah Papi,https://en.wikipedia.org/wiki/Amanolah_Papi,Q108328633,https://www.wikidata.org/wiki/Q108328633,male,athletics competitor,,Khorramabad,1990-04-03T00:00:00Z
Ali Pirouj,https://en.wikipedia.org/wiki/Ali_Pirouj,Q108391351,https://www.wikidata.org/wiki/Q108391351,male,,,,1998-01-22T00:00:00Z
Vahab Saalabi,https://en.wikipedia.org/wiki/Vahab_Saalabi,Q7908571,https://www.wikidata.org/wiki/Q7908571,male,athletics competitor,Iran,,1901-01-01T00:00:00Z
Mohammad Sadeghi Mehryar,https://en.wikipedia.org/wiki/Mohammad_Sadeghi_Mehryar,Q6892372,https://www.wikidata.org/wiki/Q6892372,male,athletics competitor,Iran,,1901-01-01T00:00:00Z
Hajar Safarzadeh,https://en.wikipedia.org/wiki/Hajar_Safarzadeh,Q130225149,https://www.wikidata.org/wiki/Q130225149,female,athletics competitor; para athletics competitor,Iran,,2000-03-14T00:00:00Z
Siamak Saleh-Farajzadeh,https://en.wikipedia.org/wiki/Siamak_Saleh-Farajzadeh,Q7506728,https://www.wikidata.org/wiki/Q7506728,male,athletics competitor,Iran,,1901-01-01T00:00:00Z
Elham Salehi,https://en.wikipedia.org/wiki/Elham_Salehi,Q130252428,https://www.wikidata.org/wiki/Q130252428,female,,,,1980-01-01T00:00:00Z
Farzad Sepahvand,https://en.wikipedia.org/wiki/Farzad_Sepahvand,Q5691818,https://www.wikidata.org/wiki/Q5691818,male,athlete,Iran,Khorramabad,1986-07-15T00:00:00Z
Kamran Shokrisalari,https://en.wikipedia.org/wiki/Kamran_Shokrisalari,Q26923461,https://www.wikidata.org/wiki/Q26923461,male,athlete,Iran,Andimeshk,1901-01-01T00:00:00Z
Ali Mohammad Yari,https://en.wikipedia.org/wiki/Ali_Mohammad_Yari,Q4725040,https://www.wikidata.org/wiki/Q4725040,male,athletics competitor,Iran,,1901-01-01T00:00:00Z
Zafar Zaker,https://en.wikipedia.org/wiki/Zafar_Zaker,Q130182108,https://www.wikidata.org/wiki/Q130182108,male,,,,1990-01-01T00:00:00Z
Asghar Zareeinejad,https://en.wikipedia.org/wiki/Asghar_Zareeinejad,Q4804300,https://www.wikidata.org/wiki/Q4804300,male,athletics competitor,Iran,,1901-01-01T00:00:00Z
Mohammad Hossein Abareghi,https://en.wikipedia.org/wiki/Mohammad_Hossein_Abareghi,Q18202628,https://www.wikidata.org/wiki/Q18202628,male,athletics competitor,Iran,Kerman,1995-01-05T00:00:00Z
Hossein Keyhani,https://en.wikipedia.org/wiki/Hossein_Keyhani,Q32722790,https://www.wikidata.org/wiki/Q32722790,male,athletics competitor,Iran,Sonqor,1990-04-26T00:00:00Z
Mohammad Jafar Moradi,https://en.wikipedia.org/wiki/Mohammad_Jafar_Moradi,Q20873445,https://www.wikidata.org/wiki/Q20873445,male,athletics competitor,Iran,,1990-04-10T00:00:00Z
Mehdi Pirjahan,https://en.wikipedia.org/wiki/Mehdi_Pirjahan,Q63283347,https://www.wikidata.org/wiki/Q63283347,male,athlete; athletics competitor,,Tabriz,1999-09-23T00:00:00Z
Janet Cohansedgh,https://en.wikipedia.org/wiki/Janet_Cohansedgh,Q6153435,https://www.wikidata.org/wiki/Q6153435,female,athletics competitor,Iran,Tehran,1945-01-01T00:00:00Z
