Row_Number,keyword,poi_name,Twitter_username,Twitter_url,source_folder,Twitter_status,Wikipedia_Link
201,Iran candidate,Ali Reza Panahian,PanahianEN,https://x.com/PanahianEN,iranian_writers,active,https://en.wikipedia.org/wiki/Alireza_Panahian
202,Iran candidate,Sabrina Ghayour-Lynn,SabrinaGhayour,https://x.com/SabrinaGhayour,Candidates,active,https://en.wikipedia.org/wiki/Sabrina_Ghayour
203,Iran candidate,Darya Safai MP,SafaiDarya,https://x.com/SafaiDarya,iranian_politicians,active,https://en.wikipedia.org/wiki/Darya_Safai
204,Iran candidate,Kianoosh Sanjari,Sanjaribaf,https://x.com/Sanjaribaf,iranian_journalists,active,https://en.wikipedia.org/wiki/Kianush_Sanjari
205,Iran candidate,behzadbolour,behzadbolour,https://x.com/behzadbolour,iranian_journalists,active,https://en.wikipedia.org/wiki/Behzad_Bolour
206,Iran candidate,Dr. David Samadi,drdavidsamadi,https://x.com/drdavidsamadi,Candidates,active,https://en.wikipedia.org/wiki/David_B._Samadi
207,Iran candidate,Massoumeh Ebtekar,ebtekarm,https://x.com/ebtekarm,iranian_journalists,active,https://en.wikipedia.org/wiki/Masoumeh_Ebtekar
208,Iran candidate,mohammadi ziarani,gmziarani,https://x.com/gmziarani,Candidates,active,https://en.wikipedia.org/wiki/Mohammad_Marandi
209,Iran candidate,jadi,jadi,https://x.com/jadi,iranian_activists,active,https://en.wikipedia.org/wiki/Asjadi
210,Iran candidate,Kris Esfandiari,kngwmn,https://x.com/kngwmn,iranian_singers,active,https://en.wikipedia.org/wiki/Kristina_Esfandiari
211,Iran candidate,masoud.aghaie,masoud,https://x.com/masoud,iranian_journalists,active,https://en.wikipedia.org/wiki/Masoud_Gholami
212,Iran candidate,MirHossein Mousavi,mousavi1388,https://x.com/mousavi1388,iranian_journalists,active,https://en.wikipedia.org/wiki/Mir-Hossein_Mousavi
213,Iran candidate,sepideqoliyan,sepideqoliyan,https://x.com/sepideqoliyan,iranian_journalists,active,https://en.wikipedia.org/wiki/Sepideh_Qolian
