Name,Wikipedia_Link,wikidata_qid,wikidata_url
Abu al-Qasim Muqane'i,https://en.wikipedia.org/wiki/Abu_al-Qasim_Muqane%27i,,
Abu Bakr Rabee Ibn Ahmad Al-Akhawyni Bokhari,https://en.wikipedia.org/wiki/Abu_Bakr_Rabee_Ibn_Ahmad_Al-Akhawyni_Bokhari,Q20987720,https://www.wikidata.org/wiki/Q20987720
Abu ul-Ala Shirazi,https://en.wikipedia.org/wiki/Abu_ul-Ala_Shirazi,Q4670477,https://www.wikidata.org/wiki/Q4670477
'Ubayd Allah ibn Bakhtishu,https://en.wikipedia.org/wiki/%27Ubayd_Allah_ibn_Bakhtishu,,
Ibn Abi al-Ashʿath,https://en.wikipedia.org/wiki/Ibn_Abi_al-Ash%CA%BFath,,
Ibrahim ibn Baks,https://en.wikipedia.org/wiki/Ibrahim_ibn_Baks,Q5984792,https://www.wikidata.org/wiki/Q5984792
Ibn Marzuban,https://en.wikipedia.org/wiki/Ibn_Marzuban,Q16199772,https://www.wikidata.org/wiki/Q16199772
Abu Sahl 'Isa ibn Yahya al-Masihi,https://en.wikipedia.org/wiki/Abu_Sahl_%27Isa_ibn_Yahya_al-Masihi,,
Al-Natili,https://en.wikipedia.org/wiki/Al-Natili,Q4703021,https://www.wikidata.org/wiki/Q4703021
Qumri,https://en.wikipedia.org/wiki/Qumri,Q4116613,https://www.wikidata.org/wiki/Q4116613
Abu 'Ubayd al-Juzjani,https://en.wikipedia.org/wiki/Abu_%27Ubayd_al-Juzjani,,
Ahmad ibn 'Imad al-Din,https://en.wikipedia.org/wiki/Ahmad_ibn_%27Imad_al-Din,,
Al-Hakim al-Munajjim,https://en.wikipedia.org/wiki/Al-Hakim_al-Munajjim,Q62068754,https://www.wikidata.org/wiki/Q62068754
Ibn Hindu,https://en.wikipedia.org/wiki/Ibn_Hindu,Q17004559,https://www.wikidata.org/wiki/Q17004559
