iteration,target_column,#classes,#class_0,#class_1,#class_2,min_class_size,training_type,K,algorithm,feature_set,features_count,balanced,accuracy,precision,recall,F1,AUC
1,target_population,3,17,17,17,17,LOOCV,51,SVM,TFIDF_username,100,True,0.0,0.0,0.0,0.0,
1,target_population,2,50,33,0,33,LOOCV,83,SVM,TFIDF_username,100,False,0.6024096385542169,0.0,0.0,0.0,0.0
1,target_population,2,33,33,0,33,LOOCV,66,SVM,TFIDF_username,100,True,0.0,0.0,0.0,0.0,0.0
1,target_population,3,50,33,17,17,KFold,5,XGBoost,TFIDF_username,100,False,0.5,0.25,0.5,0.3333333333333332,
1,target_population,3,17,17,17,17,KFold,5,XGBoost,TFIDF_username,100,True,0.2941176470588235,0.2952380952380952,0.2941176470588235,0.287445340076919,
1,target_population,2,50,33,0,33,KFold,5,XGBoost,TFIDF_username,100,False,0.6024096385542169,0.0,0.0,0.0,0.4818181818181818
1,target_population,2,33,33,0,33,KFold,5,XGBoost,TFIDF_username,100,True,0.4696969696969697,0.475,0.5757575757575758,0.5205479452054794,0.4632690541781451
1,target_population,3,50,33,17,17,LOOCV,100,XGBoost,TFIDF_username,100,False,0.5,0.25,0.5,0.3333333333333332,
1,target_population,3,17,17,17,17,LOOCV,51,XGBoost,TFIDF_username,100,True,0.0,0.0,0.0,0.0,
1,target_population,2,50,33,0,33,LOOCV,83,XGBoost,TFIDF_username,100,False,0.6024096385542169,0.0,0.0,0.0,0.0
1,target_population,2,33,33,0,33,LOOCV,66,XGBoost,TFIDF_username,100,True,0.2575757575757575,0.0,0.0,0.0,0.0
1,target_population,3,50,33,17,17,KFold,5,AdaBoost,TFIDF_username,100,False,0.5,0.25,0.5,0.3333333333333332,
1,target_population,3,17,17,17,17,KFold,5,AdaBoost,TFIDF_username,100,True,0.2941176470588235,0.1967741935483871,0.2941176470588235,0.2331081081081081,
1,target_population,2,50,33,0,33,KFold,5,AdaBoost,TFIDF_username,100,False,0.6024096385542169,0.0,0.0,0.0,0.4818181818181818
1,target_population,2,33,33,0,33,KFold,5,AdaBoost,TFIDF_username,100,True,0.5303030303030303,0.525,0.6363636363636364,0.5753424657534246,0.5238751147842057
1,target_population,3,50,33,17,17,LOOCV,100,AdaBoost,TFIDF_username,100,False,0.5,0.25,0.5,0.3333333333333332,
1,target_population,3,17,17,17,17,LOOCV,51,AdaBoost,TFIDF_username,100,True,0.0,0.0,0.0,0.0,
1,target_population,2,50,33,0,33,LOOCV,83,AdaBoost,TFIDF_username,100,False,0.6024096385542169,0.0,0.0,0.0,0.0
1,target_population,2,33,33,0,33,LOOCV,66,AdaBoost,TFIDF_username,100,True,1.0,1.0,1.0,1.0,1.0
1,target_population,3,50,33,17,17,KFold,5,LogReg,TFIDF_full_name,200,False,0.5,0.3625773195876289,0.5,0.3516666666666666,
1,target_population,3,17,17,17,17,KFold,5,LogReg,TFIDF_full_name,200,True,0.2352941176470588,0.2374957000343997,0.2352941176470588,0.235838779956427,
1,target_population,2,50,33,0,33,KFold,5,LogReg,TFIDF_full_name,200,False,0.5903614457831325,0.0,0.0,0.0,0.51
1,target_population,2,33,33,0,33,KFold,5,LogReg,TFIDF_full_name,200,True,0.5,0.5,0.4242424242424242,0.4590163934426229,0.4990817263544536
1,target_population,3,50,33,17,17,LOOCV,100,LogReg,TFIDF_full_name,200,False,0.5,0.3625773195876289,0.5,0.3516666666666666,
1,target_population,3,17,17,17,17,LOOCV,51,LogReg,TFIDF_full_name,200,True,0.0196078431372549,0.0208333333333333,0.0196078431372549,0.0202020202020202,
1,target_population,2,50,33,0,33,LOOCV,83,LogReg,TFIDF_full_name,200,False,0.6024096385542169,0.5,0.0303030303030303,0.0571428571428571,0.3090909090909091
1,target_population,2,33,33,0,33,LOOCV,66,LogReg,TFIDF_full_name,200,True,0.5454545454545454,0.6153846153846154,0.2424242424242424,0.3478260869565217,0.2690541781450871
1,target_population,3,50,33,17,17,KFold,5,DecisionTree,TFIDF_full_name,200,False,0.53,0.4520122887864823,0.53,0.4086573426573426,
1,target_population,3,17,17,17,17,KFold,5,DecisionTree,TFIDF_full_name,200,True,0.2941176470588235,0.1918859649122807,0.2941176470588235,0.2286470143613,
1,target_population,2,50,33,0,33,KFold,5,DecisionTree,TFIDF_full_name,200,False,0.6746987951807228,0.875,0.2121212121212121,0.3414634146341463,0.58
1,target_population,2,33,33,0,33,KFold,5,DecisionTree,TFIDF_full_name,200,True,0.5,0.5,0.4242424242424242,0.4590163934426229,0.5486685032139578
1,target_population,3,50,33,17,17,LOOCV,100,DecisionTree,TFIDF_full_name,200,False,0.55,0.5233333333333333,0.55,0.4528571428571428,
1,target_population,3,17,17,17,17,LOOCV,51,DecisionTree,TFIDF_full_name,200,True,0.2352941176470588,0.0888888888888888,0.2352941176470588,0.1290322580645161,
1,target_population,2,50,33,0,33,LOOCV,83,DecisionTree,TFIDF_full_name,200,False,0.6626506024096386,0.7777777777777778,0.2121212121212121,0.3333333333333333,0.4936363636363636
1,target_population,2,33,33,0,33,LOOCV,66,DecisionTree,TFIDF_full_name,200,True,0.5303030303030303,0.5714285714285714,0.2424242424242424,0.3404255319148936,0.505050505050505
1,target_population,3,50,33,17,17,KFold,5,RandomForest,TFIDF_full_name,200,False,0.53,0.4440449438202247,0.53,0.4281294964028777,
