,,,,,,,,accuracy,accuracy,F1,F1,AUC,AUC
,,,,,,,,mean,std,mean,std,mean,std
iteration,data_version,target_column,algorithm,feature_set,training_type,balanced,#classes,,,,,,
2,iteration_2_merged,locals_vs_diaspora,AdaBoost,TFIDF_description+username,LOOCV,False,3,0.3953488372093023,,0.2635658914728682,,,
2,iteration_2_merged,locals_vs_diaspora,AdaBoost,TFIDF_description+username,LOOCV,True,2,0.7,,0.7692307692307693,,0.4,
2,iteration_2_merged,locals_vs_diaspora,AdaBoost,TFIDF_description+username,LOOCV,True,3,0.13333333333333333,,0.1128747795414462,,,
2,iteration_2_merged,locals_vs_diaspora,AdaBoost,TFIDF_description+username+full_name,KFold,False,2,0.6551724137931034,,0.7916666666666666,,0.5552631578947369,
2,iteration_2_merged,locals_vs_diaspora,AdaBoost,TFIDF_description+username+full_name,KFold,False,3,0.4418604651162791,,0.3152454780361757,,,
2,iteration_2_merged,locals_vs_diaspora,AdaBoost,TFIDF_description+username+full_name,KFold,True,2,0.5,,0.5833333333333334,,0.5349999999999999,
2,iteration_2_merged,locals_vs_diaspora,AdaBoost,TFIDF_description+username+full_name,KFold,True,3,0.3333333333333333,,0.3095238095238095,,,
2,iteration_2_merged,locals_vs_diaspora,AdaBoost,TFIDF_description+username+full_name,LOOCV,False,2,0.6206896551724138,,0.7659574468085106,,0.3105263157894737,
2,iteration_2_merged,locals_vs_diaspora,AdaBoost,TFIDF_description+username+full_name,LOOCV,False,3,0.3488372093023256,,0.2367109634551495,,,
2,iteration_2_merged,locals_vs_diaspora,AdaBoost,TFIDF_description+username+full_name,LOOCV,True,2,0.65,,0.72,,0.39,
2,iteration_2_merged,locals_vs_diaspora,AdaBoost,TFIDF_description+username+full_name,LOOCV,True,3,0.13333333333333333,,0.10998877665544332,,,
2,iteration_2_merged,locals_vs_diaspora,AdaBoost,TFIDF_full_name,KFold,False,2,0.6551724137931034,,0.7916666666666666,,0.5,
2,iteration_2_merged,locals_vs_diaspora,AdaBoost,TFIDF_full_name,KFold,False,3,0.4186046511627907,,0.2651162790697674,,,
2,iteration_2_merged,locals_vs_diaspora,AdaBoost,TFIDF_full_name,KFold,True,2,0.5,,0.6153846153846154,,0.45,
2,iteration_2_merged,locals_vs_diaspora,AdaBoost,TFIDF_full_name,KFold,True,3,0.3,,0.15384615384615385,,,
2,iteration_2_merged,locals_vs_diaspora,AdaBoost,TFIDF_full_name,LOOCV,False,2,0.6206896551724138,,0.7659574468085106,,0.0,
2,iteration_2_merged,locals_vs_diaspora,AdaBoost,TFIDF_full_name,LOOCV,False,3,0.4418604651162791,,0.27081770442610653,,,
2,iteration_2_merged,locals_vs_diaspora,AdaBoost,TFIDF_full_name,LOOCV,True,2,0.45,,0.6206896551724138,,0.0,
2,iteration_2_merged,locals_vs_diaspora,AdaBoost,TFIDF_full_name,LOOCV,True,3,0.0,,0.0,,,
2,iteration_2_merged,locals_vs_diaspora,AdaBoost,TFIDF_username,KFold,False,2,0.6551724137931034,,0.7916666666666666,,0.4789473684210526,
2,iteration_2_merged,locals_vs_diaspora,AdaBoost,TFIDF_username,KFold,False,3,0.4418604651162791,,0.27081770442610653,,,
2,iteration_2_merged,locals_vs_diaspora,AdaBoost,TFIDF_username,KFold,True,2,0.5,,0.2857142857142857,,0.5,
2,iteration_2_merged,locals_vs_diaspora,AdaBoost,TFIDF_username,KFold,True,3,0.3333333333333333,,0.24019607843137256,,,
2,iteration_2_merged,locals_vs_diaspora,AdaBoost,TFIDF_username,LOOCV,False,2,0.6551724137931034,,0.7916666666666666,,0.0,
