Name,Wikipedia_Link,wikidata_qid,wikidata_url,wikidata_gender,wikidata_occupation,wikidata_country_of_citizenship,wikidata_place_of_birth,wikidata_date_of_birth
Ali Khamenei's fatwa against insulting revered Sunni figures,https://en.wikipedia.org/wiki/Ali_Khamenei%27s_fatwa_against_insulting_revered_Sunni_figures,,,,,,,
Ali Khamenei's fatwa against nuclear weapons,https://en.wikipedia.org/wiki/Ali_Khamenei%27s_fatwa_against_nuclear_weapons,,,,,,,
Mahsa Amini protests,https://en.wikipedia.org/wiki/Mahsa_Amini_protests,Q114065797,https://www.wikidata.org/wiki/Q114065797,,,,,
Attempted assassination of Ali Khamenei,https://en.wikipedia.org/wiki/Attempted_assassination_of_Ali_Khamenei,Q25432826,https://www.wikidata.org/wiki/Q25432826,,,,,
Correspondence between Barack Obama and Ali Khamenei,https://en.wikipedia.org/wiki/Correspondence_between_Barack_Obama_and_Ali_Khamenei,Q20111215,https://www.wikidata.org/wiki/Q20111215,,,,,
Four main books of Biographical-Evaluation,https://en.wikipedia.org/wiki/Four_main_books_of_Biographical-Evaluation,Q97186737,https://www.wikidata.org/wiki/Q97186737,,,,,
Ghena,https://en.wikipedia.org/wiki/Ghena,Q85973342,https://www.wikidata.org/wiki/Q85973342,,,,,
Mohammad Mohammadi Golpayegani,https://en.wikipedia.org/wiki/Mohammad_Mohammadi_Golpayegani,Q5940585,https://www.wikidata.org/wiki/Q5940585,male,cleric,Iran,Golpayegan,1943-01-01T00:00:00Z
Iran Slogan of the Year,https://en.wikipedia.org/wiki/Iran_Slogan_of_the_Year,Q5959728,https://www.wikidata.org/wiki/Q5959728,,,,,
Iran–Israel war ceasefire,https://en.wikipedia.org/wiki/Iran%E2%80%93Israel_war_ceasefire,,,,,,,
Israel won't exist in 25 years,https://en.wikipedia.org/wiki/Israel_won%27t_exist_in_25_years,,,,,,,
Ali Khamenei bibliography,https://en.wikipedia.org/wiki/Ali_Khamenei_bibliography,Q50815843,https://www.wikidata.org/wiki/Q50815843,,,,,
Khamenei's 8-Article Command to the Chiefs of Branches,https://en.wikipedia.org/wiki/Khamenei%27s_8-Article_Command_to_the_Chiefs_of_Branches,,,,,,,
