Name,Wikipedia_Link
Jahangir Mahmoudi,https://en.wikipedia.org/wiki/Jahangir_Mahmoudi
Azar Majedi,https://en.wikipedia.org/wiki/Azar_Majedi
Mohammad Maleki,https://en.wikipedia.org/wiki/Mohammad_Maleki
Khosrow Mansourian,https://en.wikipedia.org/wiki/Khosrow_Mansourian
Mohammad Masud,https://en.wikipedia.org/wiki/Mohammad_Masud
Abbas Milani,https://en.wikipedia.org/wiki/Abbas_Milani
Parvaneh Milani,https://en.wikipedia.org/wiki/Parvaneh_Milani
Akbar Mohammadi (student),https://en.wikipedia.org/wiki/Akbar_Mohammadi_%28student%29
Narges Mohammadi,https://en.wikipedia.org/wiki/Narges_Mohammadi
Karim Mohammedzadeh,https://en.wikipedia.org/wiki/Karim_Mohammedzadeh
Abdulla Mohtadi,https://en.wikipedia.org/wiki/Abdulla_Mohtadi
Mohammad Mokhtari (protester),https://en.wikipedia.org/wiki/Mohammad_Mokhtari_%28protester%29
Hussein-Ali Montazeri,https://en.wikipedia.org/wiki/Hussein-Ali_Montazeri
Mohammad Mostafaei,https://en.wikipedia.org/wiki/Mohammad_Mostafaei
Afshin Naghouni,https://en.wikipedia.org/wiki/Afshin_Naghouni
Maryam Namazie,https://en.wikipedia.org/wiki/Maryam_Namazie
Vahid Sayadi Nasiri,https://en.wikipedia.org/wiki/Vahid_Sayadi_Nasiri
Armin Navabi,https://en.wikipedia.org/wiki/Armin_Navabi
Shirin Neshat,https://en.wikipedia.org/wiki/Shirin_Neshat
Kasra Nouri,https://en.wikipedia.org/wiki/Kasra_Nouri
"Reza Pahlavi, Crown Prince of Iran",https://en.wikipedia.org/wiki/Reza_Pahlavi%2C_Crown_Prince_of_Iran
Arsham Parsi,https://en.wikipedia.org/wiki/Arsham_Parsi
Siamak Pourzand,https://en.wikipedia.org/wiki/Siamak_Pourzand
Hossein Rafiee,https://en.wikipedia.org/wiki/Hossein_Rafiee
Keyvan Rafiee,https://en.wikipedia.org/wiki/Keyvan_Rafiee
Roya Heshmati,https://en.wikipedia.org/wiki/Roya_Heshmati
Sajjad Sadeghi,https://en.wikipedia.org/wiki/Sajjad_Sadeghi
Shadi Sadr,https://en.wikipedia.org/wiki/Shadi_Sadr
Karim Sanjabi,https://en.wikipedia.org/wiki/Karim_Sanjabi
Amir Hossein Heshmat Saran,https://en.wikipedia.org/wiki/Amir_Hossein_Heshmat_Saran
Kourosh Sehati,https://en.wikipedia.org/wiki/Kourosh_Sehati
Mohammad Seifzadeh,https://en.wikipedia.org/wiki/Mohammad_Seifzadeh
Fatemeh Sepehri,https://en.wikipedia.org/wiki/Fatemeh_Sepehri
Soraya Serajeddini,https://en.wikipedia.org/wiki/Soraya_Serajeddini
Razieh Gholami-Shabani,https://en.wikipedia.org/wiki/Razieh_Gholami-Shabani
Manouchehr Shafaei,https://en.wikipedia.org/wiki/Manouchehr_Shafaei
Maryam Shafipour,https://en.wikipedia.org/wiki/Maryam_Shafipour
Ali Shariati,https://en.wikipedia.org/wiki/Ali_Shariati
Mohammad Kazem Shariatmadari,https://en.wikipedia.org/wiki/Mohammad_Kazem_Shariatmadari
Abdolfattah Soltani,https://en.wikipedia.org/wiki/Abdolfattah_Soltani
