target_username,other_username,type
davood_eldeniz,belen18134277,follower
davood_eldeniz,persiansos,follower
davood_eldeniz,AZsina44,follower
davood_eldeniz,Hermannum1996,follower
davood_eldeniz,thirst,follower
davood_eldeniz,Miss_Winterfell,follower
davood_eldeniz,Roushan83676890,follower
davood_eldeniz,MeHereAgainThen,follower
davood_eldeniz,saikoujime75459,follower
davood_eldeniz,TunaTurksoy91,follower
davood_eldeniz,SUSUZXAN,follower
davood_eldeniz,birturkoglu,follower
davood_eldeniz,qirmiz17,follower
davood_eldeniz,saje_de,follower
davood_eldeniz,Alooupi61211,follower
davood_eldeniz,Vralmee3437479,follower
davood_eldeniz,oguz24boy,follower
davood_eldeniz,ayJGnknauk,follower
davood_eldeniz,privacy,follower
davood_eldeniz,Tlieamoo733548,follower
davood_eldeniz,behinam_bbb,follower
davood_eldeniz,_ya_karim_,follower
davood_eldeniz,Legend__4578,follower
davood_eldeniz,oxcuqam1,follower
davood_eldeniz,sakinsistani,follower
davood_eldeniz,en,follower
davood_eldeniz,Noamkadosh4,follower
davood_eldeniz,_iwftw,follower
davood_eldeniz,Ymeaodee3956,follower
davood_eldeniz,PaShyry73071,follower
davood_eldeniz,masih212275,follower
davood_eldeniz,srclj__,follower
davood_eldeniz,AnoushehAnsari,follower
davood_eldeniz,Valinaxcivani,follower
davood_eldeniz,FahimiAsad29831,follower
davood_eldeniz,HusainRamazani1,follower
davood_eldeniz,SinaYousefilaw,follower
davood_eldeniz,wWX6e8tyVA,follower
davood_eldeniz,Tulkuyam,follower
davood_eldeniz,Williams969000,follower
davood_eldeniz,mahin_taj15,follower
davood_eldeniz,compose,follower
davood_eldeniz,ABjhj80054,follower
davood_eldeniz,Hammimmmmmm,follower
davood_eldeniz,mr_yousefi_,follower
davood_eldeniz,Birturk___,follower
davood_eldeniz,JvdMii,follower
davood_eldeniz,Maryarsten46993,follower
davood_eldeniz,Soudabe74897528,follower
davood_eldeniz,Uplalbif3069,follower
davood_eldeniz,Elvin_Ahn,follower
davood_eldeniz,kandushagi,follower
davood_eldeniz,LilovaReyh20650,follower
davood_eldeniz,TuethusonjUoKp,follower
davood_eldeniz,KheterR,follower
davood_eldeniz,AliTurk43880,follower
davood_eldeniz,Alizadeh1181562,follower
davood_eldeniz,ozvicda,follower
davood_eldeniz,Glalve8561,follower
davood_eldeniz,ElchinGuluzade,follower
davood_eldeniz,resources,follower
davood_eldeniz,Azarbaijan1369,follower
davood_eldeniz,se_anvari,follower
davood_eldeniz,voltaireim,follower
davood_eldeniz,almirasalsa918,follower
davood_eldeniz,oogeeoz,follower
davood_eldeniz,tos,follower
davood_eldeniz,vggda59484385,follower
davood_eldeniz,et_aci,follower
davood_eldeniz,articles,follower
davood_eldeniz,GrafikerAtabay,follower
davood_eldeniz,Saeedmatinpur,follower
davood_eldeniz,cruyff64,following
davood_eldeniz,enteshari,following
davood_eldeniz,MigoRoger,following
davood_eldeniz,trmohammadaz,following
davood_eldeniz,AliAydinFromAz,following
davood_eldeniz,swnqly,following
davood_eldeniz,Nataaraz,following
davood_eldeniz,ayliibeyg,following
davood_eldeniz,hakimian_,following
davood_eldeniz,arzunum,following
davood_eldeniz,Dr_Rafizadeh,following
davood_eldeniz,FahimiAsad29831,following
davood_eldeniz,la_Biennale,following
davood_eldeniz,TURK__az,following
davood_eldeniz,brgl394,following
davood_eldeniz,yoroldux,following
davood_eldeniz,HusainRamazani1,following
