Twitter_username,Full_Name,Total_Followers,Followers_Collected,Followers_Percentage,Total_Following,Following_Collected,Following_Percentage,Total_Connections_Collected,Posts_Count
Nazli_Tabatabai,Nazli Tabatabai-Khatambakhsh BSc. MLitt MA SFHEA,2150,43,2.0,4629,39,0.84,82,0
RoyaTheWriter,Roya Hakakian,23000,42,0.18,397,39,9.82,81,0
kngwmn,Kris Esfandiari,6964,35,0.5,325,46,14.15,81,0
s,『S』,78200,37,0.05,18,43,238.89,80,0
AbtahiOmid,Omid Abtahi,16500,47,0.28,94,33,35.11,80,0
ArminGhobadi,Armin Ghobadi Pasha,22800,35,0.15,724,45,6.22,80,0
NazaninNour,Nazanin Nour,70400,39,0.06,632,41,6.49,80,0
ardeshirpashang,Ardeshir Pashang,3807,38,1.0,396,41,10.35,79,0
AfshinMolavi,Afshin Molavi,7328,37,0.5,1697,42,2.47,79,0
AzadehEnsha,Azadeh Ensha,602,46,7.64,25,33,132.0,79,0
h0d3r,פרופיל,12600,35,0.28,13700,44,0.32,79,0
FIFPRO,FIFPRO,174700,36,0.02,1270,42,3.31,78,0
asa,asa,3508,34,0.97,318,43,13.52,77,0
ShappiKhorsandi,Shaparak Khorsandi شاپرک خرسندی,212300,37,0.02,2559,40,1.56,77,0
CroSports_,CroSports,1951,28,1.44,189,49,25.93,77,0
AshKoosha,Ash Koosha,3237,38,1.17,742,39,5.26,77,0
Zar_Amir,Zar Amir Ebrahimi,27000,39,0.14,338,38,11.24,77,0
RamitaNavai,Ramita Navai,14800,38,0.26,1399,39,2.79,77,0
sardar_pashaei,Sardar Pashaei,109700,41,0.04,1290,36,2.79,77,0
SabrinaGhayour,Sabrina Ghayour-Lynn,36400,36,0.1,747,40,5.35,76,0
raminkarimloo,Ramin Karimloo,114000,32,0.03,44,44,100.0,76,0
Nouriel,Nouriel Roubini,580900,35,0.01,849,41,4.83,76,0
Golshifteh,Golshifteh Farahani,1000000,33,0.0,98,43,43.88,76,0
SohrabAhmari,Sohrab Ahmari,154900,39,0.03,1717,37,2.15,76,0
hassaninmubarak,פרופיל,4016,38,0.95,181,38,20.99,76,0
hosseinbastani,פרופיל,343400,41,0.01,1515,35,2.31,76,0
SeppBlatter,Joseph S Blatter,1300000,34,0.0,282,41,14.54,75,0
vali_nasr,Vali Nasr,96800,35,0.04,1599,40,2.5,75,0
mhhansari,M.H. Ansari,92,38,41.3,104,37,35.58,75,0
2mohammadmosaed,Mohammad Mosaed,54800,38,0.07,2255,37,1.64,75,0
talaashe,Tala Ashe,50800,35,0.07,544,40,7.35,75,0
yasminemotarjem,Yasmine Motarjemi,1710,36,2.11,821,39,4.75,75,0
masoudkazemi81,Masoud Kazemi,61800,38,0.06,664,37,5.57,75,0
iranwire,ایران وایر,137300,40,0.03,150,35,23.33,75,0
arash_sobhani,Arash Sobhani آرش سبحانی,148200,37,0.02,2437,38,1.56,75,0
ChahlaCHAFIQ,Chahla Chafiq,1863,37,1.99,827,37,4.47,74,0
BahramRadan,Bahram Radan,170800,35,0.02,80,39,48.75,74,0
morimahmoudi,"Morteza Mahmoudi, PhD",1738,37,2.13,524,36,6.87,73,0
TheAFCCL,#ACLElite | #ACLTwo,348000,37,0.01,334,36,10.78,73,0
SepidehMoafi,Sepideh Moafi,25200,41,0.16,937,32,3.42,73,0
SportingKC,Sporting Kansas City,360200,34,0.01,902,39,4.32,73,0
farnazfassihi,Farnaz Fassihi,92100,35,0.04,7056,38,0.54,73,0
rezahn56,رضا حقيقت‌نژاد,336300,38,0.01,707,35,4.95,73,0
JamshidBarzegar,Jamshid Barzegar,60500,36,0.06,1292,36,2.79,72,0
AnoushehAnsari,Anousheh Ansari,41900,37,0.09,424,35,8.25,72,0
iranrights_org,Abdorrahman Boroumand Center,43800,41,0.09,2011,31,1.54,72,0
behdadesfahbod,Behdad Esfahbod,8870,35,0.39,3190,37,1.16,72,0
babakatwork,Babak Hodjat,669,32,4.78,71,40,56.34,72,0
NavidNegahban,Navid Negahban,4478,34,0.76,128,38,29.69,72,0
Vahid,Vahid Online,557600,36,0.01,7055,35,0.5,71,0
IranIntl,ايران اينترنشنال,2100000,35,0.0,61,36,59.02,71,0
rezjazz,Reza Rohani Official,246,38,15.45,64,33,51.56,71,0
pepepito1983,Pegah Ferydoni,2257,34,1.51,429,37,8.62,71,0
sorayanelson,SorayaSarhaddiNelson,7271,32,0.44,1197,39,3.26,71,0
sorenaofficial,Ali Sorena,250600,38,0.02,71,33,46.48,71,0
standupdan,Dan Ahdoot,20300,32,0.16,567,38,6.7,70,0
SEVDALIZA,SEVDALIZA,31900,31,0.1,118,39,33.05,70,0
HRANA_English,HRANA English,8666,40,0.46,42,30,71.43,70,0
manotonews,اتاق خبر منوتو,1200000,37,0.0,26,33,126.92,70,0
JanezLenarcic,Janez Lenarčič,48200,36,0.07,130,34,26.15,70,0
V_and_A,V&A,1200000,31,0.0,2143,38,1.77,69,0
OfficialToomaj,توماج صالحی,809000,39,0.0,215,30,13.95,69,0
OAradwinwin,Official.ARADWINWIN,283600,39,0.01,1029,30,2.92,69,0
jadi,jadi,215500,32,0.01,1391,37,2.66,69,0
MajidTavakolii,Majid Tavakoli,168600,39,0.02,303,30,9.9,69,0
gmziarani,פרופיל,69,30,43.48,232,39,16.81,69,0
HellyLuv,Helly Luv,108100,36,0.03,437,33,7.55,69,0
SaharZand,Sahar Zand,4675,34,0.73,623,34,5.46,68,0
tcsavunma,T.C. Millî Savunma Bakanlığı,3600000,40,0.0,34,28,82.35,68,0
alikarimi_ak8,ali karimi,2100000,35,0.0,30,33,110.0,68,0
SafaiDarya,Darya Safai MP,114200,31,0.03,707,37,5.23,68,0
mahlaghajaberi,Mahlagha,16300,36,0.22,197,32,16.24,68,0
taraaghdashloo,Tara Aghdashloo,10000,36,0.36,666,32,4.8,68,0
sepideqoliyan,sepideqoliyan,26800,35,0.13,388,33,8.51,68,0
cagricehreganli,Mahmutali Çehreganlı,30100,35,0.12,788,33,4.19,68,0
pouriazeraati,Pouria Zeraati,943000,37,0.0,236,30,12.71,67,0
AlinejadMasih,Masih Alinejad,753100,33,0.0,2128,34,1.6,67,0
HajipourShervin,Shervin Hajipour,454400,38,0.01,75,29,38.67,67,0
mahsamrabadi,Mahsa Amrabadi,20600,27,0.13,1106,40,3.62,67,0
habibalkaabi1,פרופיל,9037,33,0.37,1186,34,2.87,67,0
MahdyarAghajani,Mahdyar,177400,33,0.02,141,34,24.11,67,0
LommelSKOff,Lommel SK,7962,38,0.48,65,29,44.62,67,0
sahardolatshahi,sahar dolatshahi,216,32,14.81,412,35,8.5,67,0
Mahdikouchakof,مهدی کوچک زاده,220,35,15.91,27,32,118.52,67,0
ShazamAzam,Lila Azam Zanganeh,2368,37,1.56,176,30,17.05,67,0
sussantweets,Sussan Tahmasebi سوسن,6710,30,0.45,1658,37,2.23,67,0
gc_zuerich,פרופיל,23000,34,0.15,104,32,30.77,66,0
AliAzimiMusic,Ali Azimi,46200,32,0.07,813,34,4.18,66,0
BBCKasraNaji,Kasra Naji,132300,35,0.03,4021,31,0.77,66,0
IranianWoman,Sheema Kalbasi شیما کلباسی,10800,32,0.3,771,34,4.41,66,0
behzadbolour,behzadbolour,9549,33,0.35,31,33,106.45,66,0
Genomicien,Roxana Moslehi (رکسانا مصلحی),1810,30,1.66,64,36,56.25,66,0
HosseinRonaghi,Hossein Ronaghi,336100,34,0.01,577,32,5.55,66,0
shahrumkashani,shahrumkashani,160,33,20.62,65,33,50.77,66,0
jtaimoorazy,juliana Taimoorazy (ܓ̰ܘܠܝܢܐ ܒܝܬ‐ܬܡܪ̈ܙܐ),1325,35,2.64,622,31,4.98,66,0
nouri_kasra,کسری نوری,3187,34,1.07,202,32,15.84,66,0
mehrdadraissi,Mehrdad Raissi,15200,33,0.22,33,33,100.0,66,0
Mehdi_Rajabian,Mehdi Rajabian,6192,38,0.61,30,28,93.33,66,0
shahinnajafi80,Shahin Najafi 𓃬☼,709200,34,0.0,271,32,11.81,66,0
PahlavanAli,Ali Pahlavan,18000,30,0.17,234,36,15.38,66,0
the_ironsheik,The Iron Sheik,581600,33,0.01,1932,32,1.66,65,0
leilaforouhar,Leila Forouhar,24700,33,0.13,130,32,24.62,65,0
UN_CSW,United Nations CSW,57400,34,0.06,434,31,7.14,65,0
nourialmalikiiq,Nouri Al-Maliki,1000000,35,0.0,24,30,125.0,65,0
ebihamedi,Ebi Hamedi,27700,38,0.14,61,27,44.26,65,0
alirezajb7,Alireza Jahanbakhsh,20700,38,0.18,17,27,158.82,65,0
SayedModarresi,Sayed Mahdi Modarresi,46600,29,0.06,168,36,21.43,65,0
IranNW,Iran News Wire,18600,33,0.18,244,32,13.11,65,0
ShaunToub,Shaun Toub,7447,32,0.43,28,33,117.86,65,0
paymanmaadi,Payman Maadi,5202,28,0.54,86,37,43.02,65,0
Rezasadeghireal,Reza Sadeghi,8744,35,0.4,68,30,44.12,65,0
_iamnaaz_,Elnaaz Norouzi,177000,37,0.02,232,28,12.07,65,0
azarmajedi,Azar Majedi,354,33,9.32,169,32,18.93,65,0
KavehAkbar,Kaveh Akbar _ AUTHOR,727,27,3.71,902,38,4.21,65,0
statedept,Department of State,6500000,38,0.0,445,27,6.07,65,0
HeshmatAlavi,Heshmat Alavi,0,32,0.0,0,32,0.0,64,0
saghi_ghahraman,Saghi Ghahraman,1568,31,1.98,492,33,6.71,64,0
KavehMadani,Kaveh Madani,212500,35,0.02,757,29,3.83,64,0
jorjandii,Mohammad Jorjandi,11200,30,0.27,135,34,25.19,64,0
Sanjaribaf,Kianoosh Sanjari,102600,32,0.03,938,32,3.41,64,0
manizhe,Mandana karimi,66000,31,0.05,42,33,78.57,64,0
PahlaviReza,Reza Pahlavi,1600000,36,0.0,67,28,41.79,64,0
WeArePFL,Philippines Football League,6203,31,0.5,72,33,45.83,64,0
dr_hsamsami,حسین صمصامی,4816,37,0.77,35,27,77.14,64,0
TeamMelliIran,Team Melli IRAN,65700,41,0.06,17,23,135.29,64,0
AlBayanSports,البيان الرياضي,38300,33,0.09,49,31,63.27,64,0
REZAphotography,REZA,34100,35,0.1,3894,29,0.74,64,0
AEK_FC_OFFICIAL,AEK F.C.,66300,38,0.06,123,26,21.14,64,0
k_Mostafavi,Khashayar Mostafavi,17800,33,0.19,391,31,7.93,64,0
IAmTehran,IG: @IAmTehran,21200,30,0.14,714,34,4.76,64,0
HichkasOfficial,Hichkas,880900,34,0.0,409,30,7.33,64,0
amir_jadidi,Amir Jadidi,38700,35,0.09,27,29,107.41,64,0
yazdanicherati,Amirmohammad,5201,34,0.65,89,29,32.58,63,0
KameelAhmady,Kameel Ahmady کامیل احمدی,2324,34,1.46,3787,29,0.77,63,0
farvartishr,Farvartish Rezvaniyeh,380,30,7.89,100,33,33.0,63,0
refugees,"UNHCR, the UN Refugee Agency",2700000,32,0.0,2466,31,1.26,63,0
shayagoldoust,Shaya Goldoust,2404,31,1.29,45,32,71.11,63,0
monaborzouei,Mona Borzouei,82200,33,0.04,800,30,3.75,63,0
MarjanFarsad,Marjan Farsad,183,33,18.03,37,30,81.08,63,0
elinavaltonen,Elina Valtonen,137200,34,0.02,2273,29,1.28,63,0
fatemeekhtesari,Fatemeh Ekhtesari فاطمه اختصاری,20600,29,0.14,850,34,4.0,63,0
WORLDMUSICAWARD,World Music Awards,635100,33,0.01,69000,30,0.04,63,0
shamaizadeh,Hassan Shamaizadeh,52500,35,0.07,64,27,42.19,62,0
BehrouzBoochani,Behrouz Boochani,78300,30,0.04,2699,32,1.19,62,0
Powerlifting,Para Powerlifting,11100,28,0.25,514,34,6.61,62,0
Islam,islam,115900,35,0.03,217,27,12.44,62,0
SAzmoun,Sardar Azmoun,27200,36,0.13,20,26,130.0,62,0
esmaeilion,Hamed Esmaeilion,702900,33,0.0,88,29,32.95,62,0
CameliaFard,CameliaEntekhabifard,56100,32,0.06,1958,29,1.48,61,0
Nahavandian_ir,محمد نهاوندیان,44800,31,0.07,25,30,120.0,61,0
siamakansarii,Siamak Ansari,330600,34,0.01,44,27,61.36,61,0
eyoussefian,Elham Youssefian,6126,32,0.52,585,29,4.96,61,0
fft_official,Tajikistan Football,7763,33,0.43,33,28,84.85,61,0
EddieRazaz,Eddie Razaz,1342,32,2.38,90,29,32.22,61,0
abb_abdi,عباس عبدی,218500,31,0.01,474,30,6.33,61,0
MasoudTaheri4,Masoud Taheri,307,32,10.42,316,29,9.18,61,0
nm,n,844,33,3.91,3626,28,0.77,61,0
MasoudiYounes,younes_masoudi,99,31,31.31,706,30,4.25,61,0
neginsh,Negin Shiraghaei,103100,30,0.03,1306,31,2.37,61,0
_Mahdiyar313,علی اکبر رائفی پور,149200,34,0.02,1054,27,2.56,61,0
Mfazeli114,محمد فاضلی,142900,33,0.02,430,28,6.51,61,0
OfficialMNamjoo,Mohsen Namjoo | محسن نامجو,37200,33,0.09,23,27,117.39,60,0
borhanimohsen1,محسن برهانی,150800,33,0.02,371,27,7.28,60,0
Ahmadinejad1956,Mahmoud Ahmadinejad,137900,32,0.02,49,28,57.14,60,0
masoud_molavi,Masoud Molavi,506,32,6.32,1874,28,1.49,60,0
asre_majles,عصر مجلس,222,34,15.32,133,26,19.55,60,0
MaryamZakaria,Maryam Zakaria,54600,33,0.06,120,27,22.5,60,0
ummahfilms,Baba Ali,48500,29,0.06,25,31,124.0,60,0
news,NEWS,102400,30,0.03,1118,30,2.68,60,0
shahabedin76,شهاب‌الدين طباطبايى,11700,29,0.25,942,31,3.29,60,0
AlimbayevYerlan,Yerlan Alimbayev,991,26,2.62,706,34,4.82,60,0
drdavidsamadi,Dr. David Samadi,354400,30,0.01,3908,29,0.74,59,0
amnesty,Amnesty International,2000000,27,0.0,3550,32,0.9,59,0
manototv,تلویزیون منوتو,1100000,35,0.0,21,24,114.29,59,0
A_Jafarzadeh,Alireza Jafarzadeh,44600,35,0.08,7475,24,0.32,59,0
naderi_yeganeh,Hamid Naderi Yeganeh,59100,29,0.05,30100,30,0.1,59,0
roozbeh_azar,Roozbeh Azar,182,28,15.38,679,30,4.42,58,0
TheSayed,السيد مهدي المدرسي,292200,32,0.01,42,26,61.9,58,0
FreemaOfficial,Freema Agyeman,192500,29,0.02,571,29,5.08,58,0
snohaalegra,Snoh,231400,26,0.01,459,32,6.97,58,0
fereshtehmol,Fereshteh Molavi,1991,30,1.51,890,28,3.15,58,0
Knifeworld,Kavus Torabi,4060,30,0.74,37,28,75.68,58,0
latoyajackson,La Toya Jackson,350900,31,0.01,366,27,7.38,58,0
parsapirouzfar,Parsa Pirouzfar,10100,34,0.34,36,24,66.67,58,0
SharghDaily,شرق,453500,33,0.01,18,25,138.89,58,0
khamenei_ir,Khamenei.ir,2000000,31,0.0,26,27,103.85,58,0
HossainiSma,Seyed Mohammad Ali Hosseini,5015,27,0.54,20,30,150.0,57,0
thirst,thirst,253,29,11.46,606,28,4.62,57,0
issues,ISSUES,192600,48,0.02,3,9,300.0,57,0
HosseinMahini,Hossein Mahini,230900,32,0.01,357,25,7.0,57,0
mahdirasuli_ir,مهدی رسولی,184200,32,0.02,139,25,17.99,57,0
aliyanazarbaeva,Әлия  Назарбаева,287,37,12.89,19,20,105.26,57,0
sraissadat,Sepideh Raissadat,1520,28,1.84,429,29,6.76,57,0
davood_eldeniz,dr. eldeniz,7957,31,0.39,3910,26,0.66,57,0
art,Arthur Bullard,3379,29,0.86,245,28,11.43,57,0
Pey_keshavarzi,Peyman Keshavarzi Nazarloo,84,30,35.71,307,26,8.47,56,0
meftah,محمدصالح مفتاح,0,31,0.0,0,25,0.0,56,0
SaharValadbeygi,Sahar Valadbeygi,383,30,7.83,26,26,100.0,56,0
Manzarpour,Mohammad Manzarpour,16700,30,0.18,3094,26,0.84,56,0
SAghdashloo,Shohreh Aghdashloo,76700,28,0.04,507,28,5.52,56,0
hamidrasaee,פרופיל,94800,31,0.03,75,25,33.33,56,0
jilabani,Jila Baniyaghoob ژیلا بنی‌یعقوب,63400,29,0.05,1148,26,2.26,55,0
UYI_fa,اتحاد جوانان ایران,3204,29,0.91,27,26,96.3,55,0
N_Khodakarami,Nahid Khodakarami,11300,30,0.27,132,25,18.94,55,0
Jason_Jorjani,Jason Reza Jorjani,21300,29,0.14,314,26,8.28,55,0
babaktafreshi,Babak Tafreshi,10200,26,0.25,284,28,9.86,54,0
ebtekarm,Massoumeh Ebtekar,91300,29,0.03,88,25,28.41,54,0
AmirTaheri4,Amir Taheri,147100,29,0.02,2337,25,1.07,54,0
nazaninarmanian,nazanin,11000,27,0.25,274,27,9.85,54,0
shahrak_ekbatan,شهرک اکباتان | Ekbatan,40000,27,0.07,204,27,13.24,54,0
pirouzhanachi,پیروز حناچی,30200,27,0.09,22,26,118.18,53,0
BitaAlahyan,Bita Alahyan,26,28,107.69,148,25,16.89,53,0
roohallahj,روح الله جمعه ای,2853,28,0.98,288,25,8.68,53,0
Tooji_,Tooji,5283,28,0.53,87,25,28.74,53,0
la_Biennale,La Biennale di Venezia,638800,25,0.0,4896,27,0.55,52,0
25BandMusic,25Band,1383,33,2.39,16,19,118.75,52,0
drpezeshkian,Masoud Pezeshkian,305700,32,0.01,20,20,100.0,52,0
JZarif,Javad Zarif,1600000,35,0.0,10,16,160.0,51,0
fcesteghlaliran,استقلال,87900,35,0.04,14,15,107.14,50,0
mr_halloo,محمدرضا عالی پیام,4525,31,0.69,17,19,111.76,50,0
FMiraftab,faranak miraftab,32,49,153.12,0,1,0.0,50,0
helalireza,פרופיל,31600,29,0.09,21,21,100.0,50,0
IranIntl_En,Iran International English,259600,44,0.02,5,5,100.0,49,0
sirvan_khosravi,Sirvan Khosravi,45100,37,0.08,7,10,142.86,47,0
Hyazdani_CH,Hassan Yazdani Charati,1866,32,1.71,14,14,100.0,46,0
world,WORLD,666100,38,0.01,8,8,100.0,46,0
HassanRouhani,Hassan Rouhani,982100,33,0.0,7,12,171.43,45,0
iranintlbrk,ایران اینترنشنال - خبر فوری,1700000,35,0.0,9,9,100.0,44,0
MnMottaki,Manouchehr Mottaki,602,31,5.15,6,13,216.67,44,0
mr_geraei,MohammadReza Geraei,221,34,15.38,10,10,100.0,44,0
HosseinRajabian,Hossein Rajabian,675,31,4.59,11,13,118.18,44,0
ShahbanouFarah,FARAH PAHLAVI - فرح پهلوی,705900,39,0.01,3,4,133.33,43,0
ZanZibaShirazi,Ziba Shirazi,308,28,9.09,12,15,125.0,43,0
KurdistanWatch,Kurdistan Watch,16100,41,0.25,2,2,100.0,43,0
Hossein_kanaani,Hossein kanaani,17,17,100.0,27,26,96.3,43,0
hasan_abbasi,פרופיל,172200,33,0.02,10,10,100.0,43,0
IndypersianLife,IndyPersian_LifeStyle,4763,32,0.67,10,10,100.0,42,0
hemmati_ir,פרופיל,104200,34,0.03,8,8,100.0,42,0
Hengaw_English,Hengaw Organization for Human Rights,15500,28,0.18,9,14,155.56,42,0
ir_aref,محمدرضا عارف,88400,29,0.03,12,12,100.0,41,0
tatalioo,Amir Tataloo,37100,40,0.11,0,1,0.0,41,0
Tavaana,توانا Tavaana,153200,39,0.03,2,2,100.0,41,0
mousavi1388,MirHossein Mousavi,16100,39,0.24,0,1,0.0,40,0
moltaf,Moltafet,46500,36,0.08,4,4,100.0,40,0
SamiBeigi,Sami Beigi,14200,32,0.23,7,8,114.29,40,0
PouriaPoursorkh,Pouria Poursorkh,1722,32,1.86,7,7,100.0,39,0
21Sahel,サヘルローズ,80900,20,0.02,367,19,5.18,39,0
ALDERBYSHOW,الديربي / ALDERBY,134900,36,0.03,3,3,100.0,39,0
saeid_mohammad_,سعید محمد,45900,32,0.07,6,6,100.0,38,0
HaiderAlAbadi,Haider Al-Abadi حيدر العبادي,1200000,36,0.0,1,2,200.0,38,0
AshkanFadaei,Fadaei,174300,33,0.02,4,4,100.0,37,0
Siavashshams,Siavash Shams,894,34,3.8,4,3,75.0,37,0
ArzhangDavoodi,arzhang,729,34,4.66,3,3,100.0,37,0
tajmedun,ТГМУ имени Абуали ибни Сино,62,36,58.06,1,1,100.0,37,0
RghadSaddam,رغد صدام حسين,682800,35,0.01,2,2,100.0,37,0
shakilamusic,SHAKILA,51900,36,0.07,0,1,0.0,37,0
madarandadkhah,madarandadkhah,340,35,10.29,2,2,100.0,37,0
Mehrdad_Asemani,Mehrdad Asemani,210,34,16.19,2,3,150.0,37,0
shahram_hds,shahram haghighat doust,956,32,3.35,3,4,133.33,36,0
bso__azad,BSO AZAD,63500,33,0.05,3,3,100.0,36,0
shivanegar,ky,6,6,100.0,82,30,36.59,36,0
rambodjavan1,rambod javan,2652,35,1.32,0,1,0.0,36,0
followupiran,פרופיל,2000,35,1.75,0,1,0.0,36,0
FarzadFarzin2,Farzad Farzin,3651,35,0.96,1,1,100.0,36,0
Banisadr,Abolhassan Banisadr,7780,34,0.44,0,1,0.0,35,0
younesdelfi,Younesdelfi,85,34,40.0,0,1,0.0,35,0
AbdolhamidNet,شیخ الاسلام مولانا عبدالحمید,87800,33,0.04,2,2,100.0,35,0
Alirezatalischi,Alireza Talischi,905,33,3.65,2,2,100.0,35,0
RezaDormishian,Reza Dormishian,4058,34,0.84,0,1,0.0,35,0
PanahianEN,Ali Reza Panahian,75500,33,0.04,0,1,0.0,34,0
YaraShahidi,Yara Shahidi,267,32,11.99,0,1,0.0,33,0
Zeidabadi_Ahmad,احمد زیدآبادی,97700,32,0.03,1,1,100.0,33,0
masoud_barzani,Masoud Barzani,640200,32,0.0,0,1,0.0,33,0
dastournezhad,Boshra Dastournezhad,51,32,62.75,0,1,0.0,33,0
MehdiKhalaji,MehdiKhalaji,50,32,64.0,0,1,0.0,33,0
AdilAbdAlMahdi,عادل عبدالمهدي,688200,32,0.0,0,1,0.0,33,0
thebest,thebest,262,31,11.83,0,1,0.0,32,0
HamidDabashi,Hamid Dabashi,54,31,57.41,0,1,0.0,32,0
alilarijani_ir,Ali Larijani | علی لاریجانی,114500,29,0.03,2,2,100.0,31,0
raisi_com,سید ابراهیم رئیسی,323700,30,0.01,1,1,100.0,31,0
ajavadiamoli,جوادی آملی,3337,30,0.9,0,1,0.0,31,0
T_Javanbakht,"Taraneh Javanbakht, PhD, DEA, MSc, MA",985,29,2.94,0,1,0.0,30,0
BLOGS,blogs,451,28,6.21,0,1,0.0,29,0
UFLphilippines,UFLphilippines,12100,28,0.23,0,1,0.0,29,0
ptofighi,Pyman tofighi,2,2,100.0,42,26,61.9,28,0
soleimanpour,Alireza Soleimanpour,13,15,115.38,0,1,0.0,16,0
FarshidiParisa,Parisa Farshidi,3,3,100.0,5,12,240.0,15,0
stronger,Stronger,10,10,100.0,0,1,0.0,11,0
hosdehghan,פרופיל,9,9,100.0,0,1,0.0,10,0
ShivaBoloorian,Shiva Boloorian,7,7,100.0,0,1,0.0,8,0
tudum,nguyen thanhtu,6,7,116.67,0,1,0.0,8,0
HurieMoghadam,Hurie Moghadam,3,3,100.0,2,2,100.0,5,0
MehranX,Mehran,1,1,100.0,2,2,100.0,3,0
RTSinfrarouge,Infrarouge (compte archivé),14000,1,0.01,904,1,0.11,2,0
lianaagh,LA,20400,1,0.0,3377,1,0.03,2,0
MoeBarEl1,Moe Bar-El,0,0,0.0,1,1,100.0,1,0
