"target_username","other_username","type"
"followupiran","5x2i530x3rcidcw","follower"
"shahrumkashani","5y6aahcdftzn4me","follower"
"abb_abdi","61pari93357","follower"
"HosseinRajabian","677krzych","follower"
"Hyazdani_CH","67888892jkssl","follower"
"Pey_keshavarzi","6njeli","following"
"Rezasadeghireal","6shahriar68408","follower"
"DanieleRaineri","7_ndala","follower"
"IranIntl_En","72nargessalehi","follower"
"Tooji_","730no","following"
"yazdanicherati","77abolfazlhz","following"
"nourialmalikiiq","77o7h","follower"
"shayagoldoust","7continentnewss","follower"
"OfficialToomaj","7farzin7711830","follower"
"sorenaofficial","7khaiiam","following"
"nahuelzn","7negiashish","following"
"ALDERBYSHOW","7usiy","follower"
"masoud_molavi","80403b7197f4437","follower"
"gc_zuerich","88sparber","follower"
"yasminemotarjem","8mathieu8","follower"
"BehrouzBoochani","8nilsjxeqhj1v","follower"
"TheAFCCL","90ndstoppage","follower"
"pepepito1983","9122432itw","follower"
"SamiBeigi","965bita37920","follower"
"ShappiKhorsandi","999qol9196","follower"
"manoushz","99piorg","following"
"aliyanazarbaeva","9rcl7at9wzomubs","follower"
"sorenaofficial","9tantiope","following"
"Zeidabadi_Ahmad","a_01_2024","follower"
"habibalkaabi1","a_abothman","follower"
"asre_majles","a_alirezabeigi","following"
"Islam","a_alley","following"
"TahaYasseri","a_baronca","following"
"SohrabAhmari","a_bindoff","follower"
"cagricehreganli","a_f_cebeci","following"
"shakilamusic","a_fallahzadeh","follower"
"world","a_hossainy","follower"
"IranNW","a_jafarzadeh","following"
"MnMottaki","a_nazari99","follower"
"pirouzhanachi","a_rnazari","following"
"mahlaghajaberi","a_s_v_t_r","follower"
"neginsh","a_sarkohi","following"
"farvartishr","a_soleimani_f","following"
"2mohammadmosaed","a_z_im","following"
"MahdyarAghajani","a16z","following"
"SEVDALIZA","a16zcrypto","following"
"iranrights_org","a1976_b","follower"
"nourialmalikiiq","a2bdullah_","follower"
"TheSayed","a5sp3","follower"
"mehrdadraissi","a60968h","follower"
"standupdan","a8484aviv","follower"
"madarandadkhah","a9b9e3m1","follower"
"sardar_pashaei","aa1915898","follower"
"rezahn56","aa51_ansari","following"
"sardar_pashaei","aaaaaaav69","follower"
"fcesteghlaliran","aaaarrisbs","follower"
"HosseinRajabian","aaalirz","follower"
"Firouz_Naderi","aaction414","follower"
"Firouz_Naderi","aadianjana6567","follower"
"news","aadilsultanx","follower"
"AnoushehAnsari","aafifrakin","follower"
"sahardolatshahi","aahassas","follower"
"jorjandii","aahonarmand","following"
"PennHistory","aaihs","following"
"ArashMarkazi","aajavoices","following"
"ShazamAzam","aaknopf","following"
"nahuelzn","aalabadi78525","follower"
"AlBayanSports","aalbahrayn5356","follower"
"FMiraftab","aalejandrabm","follower"
"fft_official","aaljamel13216","follower"
"TheAFCCL","aalmalki_10","follower"
"fft_official","aam653073","follower"
"sorenaofficial","aami_r1385","follower"
"ummahfilms","aamullanee","follower"
"ShahbanouFarah","aanahelll","follower"
"_iamnaaz_","aanandlrai","following"
"HRANA_English","aarabisaeid","follower"
"FARNOOSH","aaravtyagi_x","follower"
"rezjazz","aardavann","following"
"meftah","aarnapatel68","follower"
"SEVDALIZA","aaronjmate","following"
"siamakansarii","aaronoff7","following"
"AshKoosha","aasangari","follower"
"ir_aref","ab_ganji","follower"
"ArzhangDavoodi","abadguy000","follower"
"pepepito1983","abaerbockarchiv","following"
"IBAHRI","abajournal","following"
"amir_jadidi","aban_paris","follower"
"amir_jadidi","abarsaber","following"
"iranrights_org","abaruleoflaw","follower"
"fatemeekhtesari","abas_asgharpour","following"
"2mohammadmosaed","abasabolfathi43","follower"
"HossainiSma","abasaslani","following"
"Vahid","abasiabbassi","following"
"HossainiSma","abasinfo","following"
"DanieleRaineri","abazarhassan","following"
"BBCKasraNaji","abb_abdi","following"
"AmirTaheri4","abba3pakbin","follower"
"Mehrdad_Asemani","abbas2864","follower"
"MasoudTaheri4","abbasagha","following"
"TheSayed","abbasalawadi6","follower"
"AdilAbdAlMahdi","abbasali690448","follower"
"mahsamrabadi","abbasi_j_5","follower"
"hasan_abbasi","abbasi_students","following"
"SaharValadbeygi","abbasiniho","follower"
"HossainiSma","abbasmehdavi312","follower"
"mhhansari","abbasmowzoon","following"
"latoyajackson","abbydphillip","following"
"Mehdi_Rajabian","abc","following"
"FARNOOSH","abc7ny","following"
"s","abcnews","following"
"paymanmaadi","abcsharktank","following"
"IndypersianLife","abd_ir1","follower"
"saghi_ghahraman","abdeekalantari","follower"
"pepepito1983","abdelkarimslp","follower"
"AlBayanSports","abdelmonim68330","follower"
"RghadSaddam","abdelra07745930","follower"
"HosseinRajabian","abdimonireh","following"
"Banisadr","abdolah_abdi","follower"
"IranIntl","abdolahkha36267","follower"
"AbdolhamidNet","abdolhamid_net","following"
"PahlaviReza","abdolhamidnet","following"
"AbdolhamidNet","abdolhamidnetar","following"
"Zeidabadi_Ahmad","abdollahia64050","follower"
"ebtekarm","abdollahram","follower"
"Zar_Amir","abdolrezakahani","following"
"HajipourShervin","abdul_ix","follower"
"hasan_abbasi","abdul_majid33","follower"
"esmaeilion","abdul_qadi90079","follower"
"amnesty","abdul_samad_pti","follower"
"tcsavunma","abdul534kerim","follower"
"azarnafisi","abdulahreema","follower"
"AlBayanSports","abdulbaset22","follower"
"ajavadiamoli","abdulhaidari313","follower"
"manizhe","abdullah9th","follower"
"tcsavunma","abdullahagar2","follower"
"RghadSaddam","abdullahhemyari","follower"
"amnesty","abdullahisom1","following"
"esmaeilion","abdullahmohtadi","following"
"elinavaltonen","abdullahpa7203","follower"
"alikarimi_ak8","abdullahsa83137","follower"
"manoushz","abdulndadi","follower"
"HossainiSma","abdulqa15628102","follower"
"HellyLuv","abdulrahma74533","follower"
"RghadSaddam","abdulsalamdoct","follower"
"ArminGhobadi","abdulwadudkha12","follower"
"SayedModarresi","abdulzahraa_","follower"
"meftah","abdusalamsalah","following"
"tajmedun","abdusamad_aa","follower"
"TeamMelliIran","abdynal18132","follower"
"fft_official","abearfromsea","follower"
"fereshtehmol","abed33474966","follower"
"iranwire","abedimoham75246","follower"
"dr_hsamsami","abedimonfared1","follower"
"Mehrdad_Asemani","abedini_farzane","follower"
"amir_jadidi","abediyazda45296","follower"
"Hyazdani_CH","abehtarin","follower"
"mousavi1388","abeirami","follower"
"HeshmatAlavi","abfarideh","following"
"monaborzouei","abhaddadii","follower"
"REZAphotography","abhijitmajumder","following"
"sonitaalizadeh","abhishekbhaya","follower"
"mszarepour","abhistoria","following"
"ptofighi","abidiparisa","following"
"shakilamusic","abikhosh88210","follower"
"tajmedun","abilovafzalshoh","follower"
"kbarzeg","abina310186","follower"
"YaraShahidi","abinelcv","follower"
"art","abingdon_arms","following"
"KavehAkbar","abkoga","following"
"issues","ablessingscurse","follower"
"IranNW","ablrchi","following"
"shamaizadeh","abmolana","following"
"jilabani","abmomeni","following"
"yasminemotarjem","abn0029","follower"
"talaashe","abnormallyadam","follower"
"AdilAbdAlMahdi","abo_mzeal","follower"
"Mehdi_Rajabian","aboalfazlm79456","follower"
"habibalkaabi1","aboarab90547242","follower"
"yazdanicherati","abofazlrajabi","following"
"world","abogadasmx","follower"
"shahinnajafi80","abol1159817","follower"
"MasoudiYounes","abolfazl_1957","following"
"hamidrasaee","abolfazl20_06","follower"
"JZarif","abolfazl597787","follower"
"hasan_abbasi","abolie17386","follower"
"jorjandii","aboliparande","follower"
"Nazli_Tabatabai","aboodmatar17","follower"
"sraissadat","abousahlzoozani","follower"
"sirvan_khosravi","about_shaamim","follower"
"shahrak_ekbatan","aboutmes7","follower"
"yazdanicherati","aboutparhammhb","following"
"AmirTaheri4","aboyahiaalsgldy","follower"
"BBCKasraNaji","abrahymahm53406","follower"
"AzadehEnsha","abramsbooks","following"
"AzadehEnsha","abramscomicarts","following"
"AzadehEnsha","abramskids","following"
"UFLphilippines","abscbnnews","follower"
"monaborzouei","absleil","follower"
"mahlaghajaberi","absmadridista","follower"
"jilabani","abtahi_m","follower"
"leilaforouhar","abtc","following"
"MahdyarAghajani","abtinhoveyda","follower"
"AdilAbdAlMahdi","abttaniq","follower"
"TheSayed","abu_al_askary","following"
"nahuelzn","abu_aqeel86","follower"
"meftah","abualibina","following"
"TheSayed","abualihussein19","follower"
"IranIntl_En","abubakarnu55384","follower"
"_Mahdiyar313","abuhafi146615","follower"
"nahuelzn","abunadiem","follower"
"nahuelzn","abusamer1990528","follower"
"PennHistory","abusamiyildiz","follower"
"nouri_kasra","abuzar42172607","follower"
"azarmajedi","abwlhbalhdathy","follower"
"TheSayed","abwmhdy75844","follower"
"ShahbanouFarah","acadbeauxarts","following"
"Zar_Amir","academy","follower"
"CAFCofficial","academyjp6","following"
"fft_official","acarumut","following"
"sorayanelson","acbowen","follower"
"21Sahel","account_kkojima","following"
"PardisSabeti","acegid_igh","following"
"parsapirouzfar","acetaminophen69","follower"
"hosseinbastani","achaharmahaliy","follower"
"SAGES_Updates","acharya_pa1","follower"
"HassanRouhani","acjindia","follower"
"NazaninNour","aclu","following"
"alirezajb7","acmilan","following"
"FreemaOfficial","acovertcovfefe","follower"
"SAGES_Updates","acpgbi","follower"
"IBAHRI","acpreventiontdl","follower"
"z_al","acrvir","follower"
"AEK_FC_OFFICIAL","acsparta_cz","following"
"AEK_FC_OFFICIAL","acsparta_en","following"
"jtaimoorazy","acsyaorg","following"
"SafaiDarya","actbrigitte","following"
"SafaiDarya","actforamerica","following"
"PahlavanAli","actingandvoice","following"
"dr_hsamsami","activistrafiey","following"
"PahlavanAli","actorssum","following"
"paydar","acwishtv","following"
"drdavidsamadi","ada_lluch","following"
"asa","adaacademy","following"
"AfshinMolavi","adadpay","follower"
"PennHistory","adakuskowski","follower"
"PanahianEN","adamant_85","follower"
"MarjanFarsad","adamczarni22933","follower"
"jilabani","adameaval","following"
"Powerlifting","adamfnward","follower"
"CroSports_","adamhimmelsbach","following"
"FIFPRO","adamlawschool","following"
"sraissadat","adamssmith66981","follower"
"Nouriel","adamtaggart","follower"
"Tooji_","adan_galindo","follower"
"khademh","adaneabel3426","follower"
"alilarijani_ir","adarehgharibi","follower"
"CAFCofficial","adawy_123","follower"
"NazaninNour","adc","following"
"BahramRadan","addems92997","follower"
"rezahn56","addh66","follower"
"JamshidBarzegar","addyperry20","follower"
"ALDERBYSHOW","adeeb_alomari","follower"
"TheSayed","adeliatorp64676","follower"
"SAghdashloo","adelirani04833","follower"
"SAghdashloo","adellenaz","following"
"la_Biennale","adelphiedizioni","following"
"sahardolatshahi","adelzarandi","following"
"Islam","adetunji269953","follower"
"esmaeilion","adfiranofficial","following"
"the_ironsheik","adfreeshows","following"
"mahsamrabadi","adhamsharkawi","following"
"azarmajedi","adhdukcharity","following"
"AEK_FC_OFFICIAL","adidas","follower"
"nahuelzn","adidasar","follower"
"FIFPRO","adidasco","following"
"AdilAbdAlMahdi","adilabdalmahdi isn’t following anyone","following"
"tajmedun","aditya_shrinath","follower"
"HaiderAlAbadi","adnanaltia","follower"
"MrKheiron","adnanime","follower"
"NavidNegahban","adoniarostami49","follower"
"roohallahj","adorno_persian","following"
"esmaeilion","adresansoso","follower"
"ColoradoRapids","adriirov","follower"
"hasan_abbasi","adriyanari3843","follower"
"milaniabbas","adryn848","follower"
"asa","adsbynimbus","following"
"CAFCofficial","adskulubu","following"
"s","adv_project","following"
"ICHRI","advanceuk_wales","follower"
"AfshinMolavi","adveith","following"
"amnesty","advhassanfarooq","follower"
"FARNOOSH","advisorbecki","follower"
"nourialmalikiiq","adybly92748","follower"
"SAGES_Updates","aecp_faecp","following"
"OfficialMNamjoo","aeeeeeeeeeeen","follower"
"AEK_FC_OFFICIAL","aek_official","follower"
"AEK_FC_OFFICIAL","aek365gr","follower"
"AEK_FC_OFFICIAL","aekbcgr","following"
"art","aesdigitallyart","follower"
"Hengaw_English","aesmailnazhad","follower"
"AbtahiOmid","aesthetic993","follower"
"the_ironsheik","aew","follower"
"OAradwinwin","af_ghost","following"
"JamshidBarzegar","afarouk92","following"
"fft_official","afcasiancup","following"
"TheAFCCL","afcasiancup_ar","following"
"IranNW","afchine_alavi","follower"
"fcesteghlaliran","afcmediatv","following"
"FIFPRO","afefutbol","following"
"alirezajb7","affgnl","following"
"ir_aref","afg01a","follower"
"roohallahj","afghan271","follower"
"sonitaalizadeh","afghanistanihrc","following"
"saghi_ghahraman","afghanlgbt","follower"
"KameelAhmady","afgmboard","following"
"HajipourShervin","afhiathil","follower"
"iranintlbrk","afintl_","following"
"IranIntl","afintl_en","following"
"iranintlbrk","afintlarabic","following"
"iranintlbrk","afintlbrk","following"
"IranIntl","afintlpashto","following"
"iranintlbrk","afintlradio","following"
"Mehdi_Rajabian","afkari_saeed","following"
"2mohammadmosaed","afkham_minus","following"
"talaashe","aflcio","following"
"mhhansari","afnan_alostaz","follower"
"fereshtehmol","afra7172","follower"
"AfshinMolavi","aframalhameli","following"
"sahardolatshahi","afrash","following"
"dr_hsamsami","afrasimoha50416","follower"
"Rezasadeghireal","afrasyabia","follower"
"SEVDALIZA","afroninfa","follower"
"PahlaviReza","afsahihoss18315","follower"
"ebihamedi","afsamaryam96589","follower"
"HajipourShervin","afsharmog","following"
"manototv","afsheenmoosavi","following"
"mr_halloo","afshin_46","follower"
"younesdelfi","afshin_ashiyani","follower"
"AshKoosha","afshin_rasa","follower"
"helalireza","afshinagin62","follower"
"rezjazz","afshinbahrami33","follower"
