Twitter_username,Full_Name,Followers_Collected,Following_Collected,Error,wikidata_qid,Twitter_url
HamidDabashi,Hamid Dabashi,65,10,,,https://x.com/HamidDabashi
naderi_yeganeh,Hamid Naderi Yeganeh,67,64,,,https://x.com/naderi_yeganeh
hamidrasaee,حمید رسایی,62,61,,,https://x.com/hamidrasaee
hasan_abbasi,حسن عباسی,80,21,,,https://x.com/hasan_abbasi
s,『S』,55,56,,,https://x.com/s
HassanRouhani,Hassan Rouhani,80,24,,,https://x.com/HassanRouhani
shamaizadeh,Hassan Shamaizadeh,68,67,,,https://x.com/shamaizadeh
HichkasOfficial,Hichkas,80,80,,,https://x.com/HichkasOfficial
h0d3r,Hossein Derakhshan,74,80,,,https://x.com/h0d3r
HosseinRajabian,Hossein Rajabian,65,25,,,https://x.com/HosseinRajabian
dr_hsamsami,حسین صمصامی,59,49,,,https://x.com/dr_hsamsami
thebest,thebest,61,10,,,https://x.com/thebest
blogs,blogs,61,10,,,https://x.com/blogs
vid,,10,10,,,https://x.com/vid
JamshidBarzegar,Jamshid Barzegar,80,80,,,https://x.com/JamshidBarzegar
nm,n,62,80,,,https://x.com/nm
Jason_Jorjani,Jason Reza Jorjani,78,80,,,https://x.com/Jason_Jorjani
javadhashemicom,,10,10,,,https://x.com/javadhashemicom
jilabani,Jila Baniyaghoob ژیلا بنی‌یعقوب,61,64,,,https://x.com/jilabani
KameelAhmady,Kameel Ahmady کامیل احمدی,73,65,,,https://x.com/KameelAhmady
BBCKasraNaji,Kasra Naji,80,80,,,https://x.com/BBCKasraNaji
Nouri_Kasra,کسری نوری,80,67,,,https://x.com/Nouri_Kasra
KavehAkbar,Kaveh Akbar _ AUTHOR,73,80,,,https://x.com/KavehAkbar
kbarzeg,Kayhan Barzegar,80,80,,,https://x.com/kbarzeg
k_Mostafavi,Khashayar Mostafavi,80,80,,,https://x.com/k_Mostafavi
SasanianShah,Dr. Χοδαδαδίος Ρεζαχανίδης,10,10,,,https://x.com/SasanianShah
Sanjaribaf,Kianoosh Sanjari,65,80,,,https://x.com/Sanjaribaf
Music,Music,80,75,,,https://x.com/Music
kngwmn,Kris Esfandiari,64,80,,,https://x.com/kngwmn
LianaAgh,LA,11,11,,,https://x.com/LianaAgh
ShazamAzam,Lila Azam Zanganeh,80,79,,,https://x.com/ShazamAzam
MahdyarAghajani,Mahdyar,65,80,,,https://x.com/MahdyarAghajani
rtsinfrarouge,Infrarouge (compte archivé),13,13,,,https://x.com/rtsinfrarouge
mahsamrabadi,Mahsa Amrabadi,80,80,,,https://x.com/mahsamrabadi
manoushz,Manoush Zomorodi,80,80,,,https://x.com/manoushz
