Name,Wikipedia_Link,wikidata_qid,wikidata_url,wikidata_gender,wikidata_occupation,wikidata_country_of_citizenship,wikidata_place_of_birth,wikidata_date_of_birth
Ayoub Mousavi,https://en.wikipedia.org/wiki/Ayoub_Mousavi,Q24007628,https://www.wikidata.org/wiki/Q24007628,male,weightlifter,Iran,,1995-04-21T00:00:00Z
Mahmoud Namjoo,https://en.wikipedia.org/wiki/Mahmoud_Namjoo,Q1361670,https://www.wikidata.org/wiki/Q1361670,male,weightlifter,Iran,Rasht,1918-09-22T00:00:00Z
Mohammad Reza Nasehi,https://en.wikipedia.org/wiki/Mohammad_Reza_Nasehi,Q23060077,https://www.wikidata.org/wiki/Q23060077,male,weightlifter,Iran,Qom,1944-03-04T00:00:00Z
Feizollah Nasseri,https://en.wikipedia.org/wiki/Feizollah_Nasseri,Q5441598,https://www.wikidata.org/wiki/Q5441598,male,weightlifter,Iran,Tehran,1955-05-01T00:00:00Z
Mohammad Nassiri,https://en.wikipedia.org/wiki/Mohammad_Nassiri,Q1399307,https://www.wikidata.org/wiki/Q1399307,male,weightlifter,Iran,Tehran,1945-10-01T00:00:00Z
Shahin Nassirinia,https://en.wikipedia.org/wiki/Shahin_Nassirinia,Q7461780,https://www.wikidata.org/wiki/Q7461780,male,weightlifter,Iran,Shiraz,1976-02-25T00:00:00Z
Navab Nassirshalal,https://en.wikipedia.org/wiki/Navab_Nassirshalal,Q3082518,https://www.wikidata.org/wiki/Q3082518,male,weightlifter,Iran,Ahvaz,1989-04-01T00:00:00Z
Kazem Panjavi,https://en.wikipedia.org/wiki/Kazem_Panjavi,Q83805010,https://www.wikidata.org/wiki/Q83805010,male,weightlifter,,Sardasht,1966-09-05T00:00:00Z
Hadi Panzvan,https://en.wikipedia.org/wiki/Hadi_Panzvan,Q20987978,https://www.wikidata.org/wiki/Q20987978,male,weightlifter,Iran,Gilan Province,1975-12-12T00:00:00Z
Mehdi Panzvan,https://en.wikipedia.org/wiki/Mehdi_Panzvan,Q21285441,https://www.wikidata.org/wiki/Q21285441,male,weightlifter,Iran,,1981-02-17T00:00:00Z
