Name,Wikipedia_Link,wikidata_qid,wikidata_url
Behdad Salimi,https://en.wikipedia.org/wiki/Behdad_Salimi,Q733286,https://www.wikidata.org/wiki/Q733286
Jafar Salmasi,https://en.wikipedia.org/wiki/Jafar_Salmasi,Q931240,https://www.wikidata.org/wiki/Q931240
Saeid Sayyar,https://en.wikipedia.org/wiki/Saeid_Sayyar,Q21622755,https://www.wikidata.org/wiki/Q21622755
Rashid Sharifi,https://en.wikipedia.org/wiki/Rashid_Sharifi,Q373398,https://www.wikidata.org/wiki/Q373398
Alireza Soleimani (weightlifter),https://en.wikipedia.org/wiki/Alireza_Soleimani_%28weightlifter%29,,
Hamed Solhipour,https://en.wikipedia.org/wiki/Hamed_Solhipour,Q85966672,https://www.wikidata.org/wiki/Q85966672
Hossein Soltani,https://en.wikipedia.org/wiki/Hossein_Soltani,Q118288493,https://www.wikidata.org/wiki/Q118288493
Mohsen Tabatabaei,https://en.wikipedia.org/wiki/Mohsen_Tabatabaei,Q25423940,https://www.wikidata.org/wiki/Q25423940
Rasoul Taghian,https://en.wikipedia.org/wiki/Rasoul_Taghian,Q20987959,https://www.wikidata.org/wiki/Q20987959
Abbas Talebi,https://en.wikipedia.org/wiki/Abbas_Talebi,Q83887539,https://www.wikidata.org/wiki/Q83887539
Henrik Tamraz,https://en.wikipedia.org/wiki/Henrik_Tamraz,Q19519297,https://www.wikidata.org/wiki/Q19519297
Hossein Tavakkoli,https://en.wikipedia.org/wiki/Hossein_Tavakkoli,Q931761,https://www.wikidata.org/wiki/Q931761
Homayoun Teymouri,https://en.wikipedia.org/wiki/Homayoun_Teymouri,Q96002657,https://www.wikidata.org/wiki/Q96002657
Ali Vali,https://en.wikipedia.org/wiki/Ali_Vali,Q31140850,https://www.wikidata.org/wiki/Q31140850
Alireza Yousefi,https://en.wikipedia.org/wiki/Alireza_Yousefi,Q64351854,https://www.wikidata.org/wiki/Q64351854
Ahmad Aminzadeh,https://en.wikipedia.org/wiki/Ahmad_Aminzadeh,Q130261335,https://www.wikidata.org/wiki/Q130261335
Mohsen Bakhtiar,https://en.wikipedia.org/wiki/Mohsen_Bakhtiar,Q130329842,https://www.wikidata.org/wiki/Q130329842
Morteza Dashti,https://en.wikipedia.org/wiki/Morteza_Dashti,Q81675394,https://www.wikidata.org/wiki/Q81675394
Amrollah Dehghani,https://en.wikipedia.org/wiki/Amrollah_Dehghani,Q81680007,https://www.wikidata.org/wiki/Q81680007
Majid Farzin,https://en.wikipedia.org/wiki/Majid_Farzin,Q5668363,https://www.wikidata.org/wiki/Q5668363
Aliakbar Gharibshahi,https://en.wikipedia.org/wiki/Aliakbar_Gharibshahi,Q130261315,https://www.wikidata.org/wiki/Q130261315
Ali Hosseini (powerlifter),https://en.wikipedia.org/wiki/Ali_Hosseini_%28powerlifter%29,,
Amir Jafari (powerlifter),https://en.wikipedia.org/wiki/Amir_Jafari_%28powerlifter%29,,
Hamzeh Mohammadi,https://en.wikipedia.org/wiki/Hamzeh_Mohammadi,Q81674703,https://www.wikidata.org/wiki/Q81674703
Nader Moradi,https://en.wikipedia.org/wiki/Nader_Moradi,Q5681095,https://www.wikidata.org/wiki/Q5681095
Mansour Pourmirzaei,https://en.wikipedia.org/wiki/Mansour_Pourmirzaei,Q108180178,https://www.wikidata.org/wiki/Q108180178
Siamand Rahman,https://en.wikipedia.org/wiki/Siamand_Rahman,Q4121925,https://www.wikidata.org/wiki/Q4121925
Rouhollah Rostami,https://en.wikipedia.org/wiki/Rouhollah_Rostami,Q5680728,https://www.wikidata.org/wiki/Q5680728
Ali Sadeghzadeh,https://en.wikipedia.org/wiki/Ali_Sadeghzadeh,Q4725166,https://www.wikidata.org/wiki/Q4725166
Template:Iran-weightlifting-bio-stub,https://en.wikipedia.org/wiki/Template%3AIran-weightlifting-bio-stub,,
Saman Razi,https://en.wikipedia.org/wiki/Saman_Razi,Q27629793,https://www.wikidata.org/wiki/Q27629793
