Name,Wikipedia_Link,wikidata_qid,wikidata_url,wikidata_gender,wikidata_occupation,wikidata_country_of_citizenship,wikidata_place_of_birth,wikidata_date_of_birth,Twitter_username,Twitter_url
Nahid Moslemi,https://en.wikipedia.org/wiki/Nahid_Moslemi,Q65198493,https://www.wikidata.org/wiki/Q65198493,female,actor,Iran,Tehran,1955-12-16T00:00:00Z,,
Fatemeh Motamed-Arya,https://en.wikipedia.org/wiki/Fatemeh_Motamed-Arya,Q453568,https://www.wikidata.org/wiki/Q453568,female,actor; film actor,Iran,Tehran,1961-10-29T00:00:00Z,,
Fariba Motekhasses,https://en.wikipedia.org/wiki/Fariba_Motekhasses,Q5934274,https://www.wikidata.org/wiki/Q5934274,female,actor; voice actor,Iran,Borujerd,1961-07-23T00:00:00Z,,
Niki Mozaffari,https://en.wikipedia.org/wiki/Niki_Mozaffari,Q124685201,https://www.wikidata.org/wiki/Q124685201,female,actor; designer; television actor,,Tehran,1987-09-19T00:00:00Z,,
Elham Nami,https://en.wikipedia.org/wiki/Elham_Nami,Q58878015,https://www.wikidata.org/wiki/Q58878015,female,actor,Iran,Mashhad,1986-04-28T00:00:00Z,,
Afsaneh Naseri,https://en.wikipedia.org/wiki/Afsaneh_Naseri,Q16051943,https://www.wikidata.org/wiki/Q16051943,female,actor,Iran,Tehran,1960-01-01T00:00:00Z,,
Anahita Nemati,https://en.wikipedia.org/wiki/Anahita_Nemati,Q5952770,https://www.wikidata.org/wiki/Q5952770,female,actor,Iran,Shahrud,1977-07-11T00:00:00Z,,
Marjan Neshat,https://en.wikipedia.org/wiki/Marjan_Neshat,Q18025163,https://www.wikidata.org/wiki/Q18025163,female,actor,Iran,Tehran,1975-10-10T00:00:00Z,,
Roya Nonahali,https://en.wikipedia.org/wiki/Roya_Nonahali,Q7373559,https://www.wikidata.org/wiki/Q7373559,female,actor,Iran,Tehran,1963-02-13T00:00:00Z,,
Elnaaz Norouzi,https://en.wikipedia.org/wiki/Elnaaz_Norouzi,Q52584389,https://www.wikidata.org/wiki/Q52584389,female,film actor; model,,Tehran,1992-07-09T00:00:00Z,_iamnaaz_,https://x.com/_iamnaaz_
Zhaleh Olov,https://en.wikipedia.org/wiki/Zhaleh_Olov,Q8070098,https://www.wikidata.org/wiki/Q8070098,female,actor; dub actor; dub director,Iran; Pahlavi Iran,Sangelaj,1927-08-06T00:00:00Z,,
Fereshteh Sadre Orafaee,https://en.wikipedia.org/wiki/Fereshteh_Sadre_Orafaee,Q3038724,https://www.wikidata.org/wiki/Q3038724,female,actor; puppeteer; voice actor,Iran,Tehran,1962-06-30T00:00:00Z,,
Rabeh Oskouie,https://en.wikipedia.org/wiki/Rabeh_Oskouie,Q5941048,https://www.wikidata.org/wiki/Q5941048,female,actor,Iran,Tehran,1966-06-08T00:00:00Z,,
Leila Otadi,https://en.wikipedia.org/wiki/Leila_Otadi,Q6538029,https://www.wikidata.org/wiki/Q6538029,female,actor,Iran,Tehran,1983-08-05T00:00:00Z,,
Reyhaneh Parsa,https://en.wikipedia.org/wiki/Reyhaneh_Parsa,Q97929227,https://www.wikidata.org/wiki/Q97929227,female,actor; film director; model,Iran,Tehran,1999-02-23T00:00:00Z,reyparsa,https://x.com/reyparsa
Susan Parvar,https://en.wikipedia.org/wiki/Susan_Parvar,Q16051449,https://www.wikidata.org/wiki/Q16051449,female,actor,Iran,Arak,1975-01-01T00:00:00Z,,
Setareh Pesyani,https://en.wikipedia.org/wiki/Setareh_Pesyani,Q18402115,https://www.wikidata.org/wiki/Q18402115,female,actor,Iran,Tehran,1982-07-09T00:00:00Z,,
Soraya Qasemi,https://en.wikipedia.org/wiki/Soraya_Qasemi,Q3491137,https://www.wikidata.org/wiki/Q3491137,female,actor; voice actor,Iran; Pahlavi dynasty,Tehran,1940-12-19T00:00:00Z,,
Shabnam Qolikhani,https://en.wikipedia.org/wiki/Shabnam_Qolikhani,Q4116451,https://www.wikidata.org/wiki/Q4116451,female,actor; film director; screenwriter; writer,Iran,Tehran,1977-11-10T00:00:00Z,,
